stage,blastomeres,epidermis,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,9.85,0,0,0,1.64,0,0,0.82
 36-46,0,0,1.61,0,0,0,2.42,0,6.45,0,0,1.61,3.22,0,0,0
 48-58,0,0,2.87,1.15,0,0,0.57,0,1.72,0,0,0,1.15,0.57,0,0.57
 60-70,0,0.98,2.94,1.96,0,0,3.93,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0
 84-94,0,0,2.12,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,1.09,1.09,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,0.77,0.77,0.77,0.77,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.88,1.96,0,0,1.96,0,0,0
