stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,melanocytes,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,pericytes,periderm,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,0,0,0,0,15.77,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,9.44,0,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,18.06,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,20.95,0,0,0,0.81,3.22,0
 48-58,0,0,0,2.87,0,2.87,0,0,0.57,0,23.53,0,0,0,0,5.16,0
 60-70,0,0,0,7.85,0.98,2.94,0,0,1.96,0.98,33.37,0,0,0,0,1.96,0
 72-82,0,0,0.98,17.67,0,3.93,0,0,0,0,18.65,0,0,0.98,0,2.94,0
 84-94,0,0,0,6.37,0,0,0,0,1.06,0,11.68,1.06,0,0,0,2.12,0
 96-106,0,0,0,4.37,0,1.09,0,0,0,0,7.65,0,0,1.09,0,0,0
108-118,0,0,0,6.89,0,0.77,0,0,0.77,0,9.96,0,0,0,0.77,0,0.77
120,0,0,0,5.88,0,0,0,0,0,0,11.76,0,0,0,0,0,0
