stage,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,0,0,0,0,0,1,1,0,1,0,2,1,1
 24-34,0,0,2.46,0,0.82,0,0,0,0.82,0,4.1,0.82,0,2.46,0,0.82,3.28
 36-46,0.81,0,1.61,0,0,0,0,0,0,0,7.25,0,0.81,0.81,0,0,1.61
 48-58,0,0,0.57,0,0,1.15,0.57,0,0.57,0,2.87,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,1.96,0,0,0,0,1.96,0,0,0.98,0,0.98,1.96
 72-82,0,0,0.98,0.98,0,0.98,0,0,0.98,0,2.94,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0.77,0,0,0,0.77,3.83,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0
