stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,ionocyte,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1
 24-34,0,0,0.82,4.1,0,0,0,0,0,0,5.75,0,0.82,0,0,0,1.64
 36-46,0,0,0.81,1.61,0.81,0,0,0,0,1.61,3.22,0,0.81,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0,2.3,2.3,0.57,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0.98,0,0.98,0,0.98,4.91,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,1.09,0,0,2.19,0,0
108-118,0,0,0.77,0.77,0,1.53,0,0,0,0,1.53,0,0.77,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
