stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,10.51,0,0,2.63,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,62.94,0,0,0,40.91,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20,0,0,0,0,0,1,0,3,1,1,1,0,1,0,0,1,4,38,0,0,0,8,0,0,16,28,3,0,0,0,0,0
 24-34,0,0,0,0,12.31,0,0.82,4.1,0,0.82,0,0,4.1,5.75,3.28,4.93,0,1.64,4.93,0,0.82,54.18,7.39,2.46,0,0,18.06,0,0.82,4.93,11.49,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,2.42,0,0,0.81,0,0,2.42,0,0.81,0,0,1.61,0,0,0,98.29,0.81,1.61,0,0,12.89,0.81,0,0,0,25.78,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,9.75,0.57,0.57,2.3,0,0,1.72,1.15,0.57,0,0,2.3,3.44,0,0.57,125.66,0.57,1.15,1.15,0,10.33,0,0,0,0,24.67,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0.98,36.32,0.98,0.98,1.96,1.96,0,2.94,0.98,0,0.98,0,4.91,2.94,0,0.98,267.96,0.98,0,0,0,9.82,0,0,0,0,24.54,0,0,0,0,0
 72-82,0,0,0.98,0,6.87,0.98,56.94,0,0,5.89,5.89,0,1.96,0.98,2.94,0,0,6.87,3.93,0,0.98,337.69,0,0.98,3.93,0,10.8,0,0,0,0,17.67,0.98,0,0,0,0.98
 84-94,0,0,1.06,0,11.68,1.06,58.41,2.12,0,7.43,10.62,0,8.5,5.31,0,0,0,8.5,5.31,0,3.19,189.04,1.06,1.06,1.06,0,25.49,0,0,0,0,13.81,1.06,0,1.06,0,1.06
 96-106,0,0,0,0,12.02,1.09,46.99,0,0,4.37,17.49,0,18.58,13.11,0,1.09,0,8.74,6.56,0,1.09,165.02,0,1.09,3.28,0,33.88,0,0,0,0,8.74,4.37,2.19,0,1.09,0
108-118,0,0,0,0,13.02,0,43.66,0.77,0.77,5.36,19.15,0,13.79,6.89,1.53,1.53,0.77,3.06,8.43,0.77,1.53,199.92,0,1.53,4.6,0,25.28,0,0.77,0,0,3.06,2.3,0.77,1.53,0.77,0
120,0,0,0,1.96,27.44,0,50.95,0,0,5.88,17.64,0,15.68,1.96,0,0,0,3.92,0,0,0,213.62,0,1.96,1.96,0,43.12,0,0,1.96,0,5.88,0,0,1.96,1.96,0
