stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,1976.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,55.17,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,9.44,0,0,53.5,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,22,2,0,13,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,13,116,8,0,0,3,0,1,30,0,1,33,35,0,4,0,0
 24-34,0,0,1.64,8.21,0,0,13.95,0,1.64,1.64,0,1.64,0,0,0,0.82,0,0.82,0.82,46.79,0.82,0.82,25.45,99.32,18.06,0,0.82,0,0,0,0,0.82,0.82,9.03,31.19,0,8.21,0,0
 36-46,0,0,0.81,8.86,0,0,7.25,0,1.61,2.42,8.06,0.81,0.81,0.81,0,1.61,1.61,0.81,1.61,49.15,0.81,1.61,10.47,82.18,7.25,0.81,0.81,0,0,0,0,0,0,0.81,20.14,0.81,3.22,0,4.03
 48-58,0,0,0,1.15,0,0,12.62,1.72,0,2.87,9.18,0.57,1.15,0.57,0,0,0,0,1.72,39.59,0,1.72,5.16,16.07,4.59,0,1.72,0,0,0,0,0,0,0,8.03,1.15,1.72,0,1.72
 60-70,0,0,0,3.93,0,0,4.91,0.98,0,0.98,10.8,1.96,0,0.98,0,0.98,0,0,0.98,77.54,0,0,5.89,22.58,5.89,0,1.96,0,0,0,0,0,0,0,4.91,2.94,0.98,0,4.91
 72-82,0,0,0,4.91,1.96,0,10.8,1.96,0.98,3.93,10.8,0,0.98,0,0,1.96,0.98,0,0.98,116.82,0.98,2.94,8.83,21.6,6.87,0.98,1.96,0,0.98,0.98,0,0,0,0,4.91,1.96,10.8,1.96,0.98
 84-94,0,0,0,4.25,1.06,0,16.99,0,3.19,1.06,7.43,1.06,0,1.06,0,6.37,0,0,3.19,79.65,1.06,7.43,9.56,14.87,6.37,0,2.12,0,0,0,0,0,0,0,3.19,3.19,2.12,4.25,4.25
 96-106,0,0,0,14.21,2.19,1.09,8.74,0,1.09,2.19,8.74,2.19,1.09,3.28,1.09,1.09,0,1.09,3.28,76.5,0,4.37,12.02,29.51,4.37,3.28,2.19,0,3.28,1.09,0,0,0,0,2.19,0,9.84,5.46,5.46
108-118,0,0,0,7.66,0.77,5.36,18.38,1.53,2.3,3.06,3.83,2.3,0,3.06,1.53,3.06,0,3.06,3.06,57.45,0,3.83,8.43,21.45,6.89,0,3.06,0,2.3,0,0,0.77,0,0,2.3,0.77,6.89,2.3,6.89
120,0,0,0,15.68,1.96,0,5.88,1.96,1.96,3.92,5.88,1.96,0,1.96,0,1.96,0,0,1.96,47.03,0,0,5.88,23.52,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96
