stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,5.26,0,34.17,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,7,0,0,0,0,0,1,1,0,1,1,6,0,0
 24-34,0,0,2.46,0,0,0,4.1,0,0,0,0.82,0,0,0.82,0,0,0,17.24,0,0,0,0,0,1.64,0.82,0,3.28,0,3.28,0,0
 36-46,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,34.64,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,12.62,0,0,0.57,1.15,0,0,1.72,0.57,0,0,25.25,0,0,0,0,0,1.72,0,0,1.72,0,2.87,0,0
 60-70,0,0,0,0,0.98,0,29.45,0,0,0,0,0,0,0.98,0,0,0,31.41,0,1.96,0,0,0,0,0,0,0.98,0,4.91,0.98,0
 72-82,0,0,0,0,0.98,0,25.52,0,0,0,7.85,0,0,0.98,0,0.98,1.96,25.52,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,13.81,1.06,0,0,1.06,0,1.06,0,0,1.06,0,8.5,0,0,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,16.39,0,0,0,6.56,0,3.28,6.56,0,1.09,1.09,8.74,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,16.85,1.53,0.77,0,3.83,0,12.26,4.6,0,0,0.77,15.32,0,0,1.53,0,0,1.53,0,0,1.53,0,1.53,0,1.53
120,0,0,0,0,1.96,0,19.6,0,0,1.96,1.96,1.96,3.92,0,0,0,1.96,23.52,0,0,0,0,0,1.96,0,0,0,0,0,0,0
