stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,15.73,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19,2,0,3,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,5,19,0,0,0,0,0,6,0,8,5,3,20,6,0,0,0,0,1
 24-34,0,0,0,0.82,18.88,1.64,0,8.21,0,1.64,0,0,0,1.64,2.46,3.28,0,1.64,0,0,8.21,0,0,4.1,31.19,1.64,0.82,0.82,0,0,8.21,0,0,0.82,0.82,4.93,5.75,0,0,4.1,0,0
 36-46,0,0,0,0,12.09,0,0,8.06,0.81,5.64,0.81,2.42,0,0.81,0.81,2.42,0,0.81,0.81,0,4.83,0,0.81,1.61,27.39,0.81,1.61,0.81,0,0,8.06,0,0,0,0,0,12.09,0,0,3.22,0,0
 48-58,0,0,0,0,6.31,0,0,16.07,0.57,1.72,0.57,7.46,0,0,0.57,0,0,0.57,0,0.57,5.74,0.57,0.57,1.72,12.05,0,0,1.15,0,0,7.46,0,0,0,1.15,0,4.02,0,0,2.3,0,0.57
 60-70,0,0,0,0,12.76,0.98,0,11.78,0.98,2.94,0.98,2.94,0.98,0,5.89,0,0,2.94,0,0,21.59,0.98,0.98,0,10.8,0,0,1.96,0,0,10.8,0,0,0,0.98,0,2.94,0,0,4.91,0,0
 72-82,0,0,0,0,11.78,7.85,0.98,7.85,0.98,4.91,1.96,6.87,2.94,0.98,12.76,0,0,0.98,0,0,27.49,0,0,0.98,8.83,0,1.96,5.89,0,0,8.83,0,0,0.98,0.98,0,2.94,0,0,4.91,0,0
 84-94,0,0,1.06,0,23.36,2.12,0,19.12,0,9.56,0,5.31,3.19,0,11.68,2.12,1.06,0,0,0,22.3,0,0,0,9.56,1.06,0,4.25,0,0,28.68,0,0,4.25,0,0,1.06,1.06,1.06,8.5,1.06,0
 96-106,0,0,1.09,0,17.49,6.56,0,13.11,1.09,1.09,0,8.74,7.65,0,14.21,3.28,3.28,0,1.09,0,14.21,2.19,0,3.28,7.65,0,2.19,4.37,0,1.09,39.34,0,0,0,3.28,0,3.28,3.28,1.09,8.74,1.09,3.28
108-118,0,0,0,0,19.15,3.83,0,16.09,0.77,8.43,1.53,6.89,3.83,0,17.62,3.83,1.53,0,0.77,0,17.62,1.53,0.77,6.13,9.19,2.3,2.3,6.13,0,0.77,26.81,0,0,1.53,4.6,0,0.77,2.3,0,2.3,0.77,0.77
120,0,0,0,0,29.4,15.68,0,5.88,1.96,15.68,0,9.8,3.92,0,21.56,0,0,1.96,0,0,17.64,0,1.96,0,17.64,7.84,1.96,5.88,0,0,41.16,0,0,3.92,0,0,0,0,0,13.72,3.92,0
