stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,12,104,74,0,53,0,1,0,15,14,1,1,0,9,1,1,0,2,44,0,0,31,514,17,6,10,17,0,37,1,54,8,4,88,186,0,0,13,0,1
 24-34,3.28,4.1,59.1,8.21,0,90.29,0,4.1,1.64,15.6,4.1,0,5.75,0.82,28.73,0.82,6.57,2.46,3.28,70.59,4.1,0,36.12,801.98,11.49,20.52,9.03,0,0.82,91.12,0,0,4.93,1.64,26.27,219.17,0,0,29.55,0,4.93
 36-46,0.81,0,27.39,0.81,0,219.95,1.61,3.22,3.22,37.87,3.22,0,2.42,6.45,2.42,1.61,4.83,1.61,3.22,126.49,1.61,2.42,29.81,1193.2,9.67,12.89,7.25,0,0,72.51,0,0,3.22,0.81,0,279.57,0,0,23.36,0.81,3.22
 48-58,0,0,12.05,1.15,0,292.07,0,5.16,5.74,88.94,1.15,1.72,0.57,9.18,3.44,1.15,9.18,1.15,2.87,146.89,1.72,4.59,20.08,775.78,5.74,6.89,9.18,0,0,47.05,0,0,1.72,0.57,0,195.67,0,0.57,17.21,0.57,5.16
 60-70,0.98,0,29.45,1.96,0,479.96,2.94,13.74,6.87,129.56,4.91,0.98,3.93,11.78,7.85,0.98,4.91,0,1.96,204.16,0.98,5.89,18.65,889.26,0.98,9.82,5.89,0,0,67.73,0,0,2.94,1.96,0,145.27,1.96,2.94,19.63,0.98,5.89
 72-82,1.96,0.98,33.38,3.93,0,283.7,0,7.85,17.67,105.04,9.82,0,3.93,19.63,8.83,1.96,3.93,2.94,0.98,235.6,1.96,5.89,23.56,510.46,1.96,22.58,13.74,0,0.98,63.81,0,0,4.91,1.96,0,56.94,9.82,5.89,35.34,8.83,3.93
 84-94,6.37,0,57.35,8.5,0,207.1,0,10.62,10.62,76.47,12.74,0,1.06,27.61,19.12,7.43,7.43,6.37,0,168.86,4.25,10.62,10.62,229.4,5.31,11.68,13.81,0,2.12,196.48,0,0,4.25,1.06,0,37.17,16.99,9.56,26.55,5.31,4.25
 96-106,2.19,0,76.5,6.56,2.19,113.66,1.09,16.39,3.28,77.59,29.51,0,5.46,31.69,19.67,5.46,9.84,5.46,0,136.61,1.09,8.74,12.02,225.13,3.28,18.58,9.84,0,1.09,156.28,0,0,4.37,0,0,21.86,24.04,7.65,38.25,7.65,3.28
108-118,3.83,0,86.55,5.36,4.6,117.19,2.3,19.92,6.89,65.11,19.92,0,0.77,17.62,19.92,7.66,8.43,9.19,0,110.3,2.3,3.83,14.55,255.07,7.66,15.32,10.72,0,3.06,136.34,0.77,0,1.53,0.77,0,8.43,23.74,1.53,24.51,5.36,3.06
120,3.92,0,82.31,3.92,0,99.95,3.92,15.68,13.72,64.67,33.32,0,1.96,35.28,13.72,7.84,5.88,9.8,0,94.07,5.88,11.76,11.76,243.01,3.92,15.68,5.88,0,0,94.07,0,0,3.92,0,0,5.88,17.64,7.84,21.56,3.92,1.96
