stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,17,0,1,0,1,0,4,2,0,4,3,0,0,0,0,0
 24-34,0,0,2.46,0,0,0.82,0,0,0,1.64,0,0,0.82,0,1.64,0,0,0,7.39,0,0,2.46,27.09,0,0,0,0,0,15.6,0,0.82,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,4.83,0,0.81,0,2.42,0,0.81,0,0,0,0,0,0,11.28,0.81,0,1.61,29,0,0,0.81,0,0,16.92,0,0,0,8.86,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,6.89,0.57,0,0.57,1.72,0,0,0,0,0,0,0,0.57,10.33,0,0,1.72,34.43,0,0,0.57,0,0,6.31,0,0,0,14.92,0,0.57,0.57,0,1.15
 60-70,0,0,0.98,0,0,18.65,0,1.96,0,4.91,0,0,0,0,0,0,0,0,16.69,0,0,0.98,41.22,0,0,3.93,0,0,4.91,0,0,0,18.65,0,2.94,0,0,0.98
 72-82,0,0,2.94,0.98,0,24.54,0,0,0.98,11.78,0.98,0,0.98,0.98,0,0,0.98,0.98,22.58,0.98,0.98,2.94,33.38,0,0,0.98,0,0,1.96,0,0,0,19.63,1.96,0,2.94,0,0.98
 84-94,0,0,5.31,0,0,22.3,0,1.06,0,4.25,0,0,0,2.12,0,1.06,0,0,7.43,1.06,2.12,1.06,24.43,0,0,0,0,0,6.37,0,0,0,7.43,0,0,0,0,3.19
 96-106,0,0,0,0,2.19,12.02,0,0,2.19,7.65,0,0,0,1.09,0,0,0,0,12.02,0,0,3.28,15.3,0,0,2.19,0,1.09,7.65,0,1.09,0,2.19,1.09,0,1.09,1.09,0
108-118,0,0,3.83,0.77,0,6.89,0,1.53,0,4.6,0.77,0,0.77,0.77,3.06,0.77,0,0,9.96,0.77,0,0,14.55,0,0.77,3.06,0,0,3.83,0,0,0,2.3,1.53,0,0,0,0.77
120,0,0,0,0,0,5.88,0,9.8,0,9.8,0,0,0,1.96,0,0,0,0,7.84,0,0,3.92,9.8,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96
