stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,4.91,0,0,0.98,0,0.98,0.98,0.98,0,0,0,0,0
 72-82,0,0,13.74,0,0,0,0,1.96,0,0.98,0,0,0,0,0.98
 84-94,0,0,13.81,0,0,0,0,1.06,0,3.19,0,0,0,1.06,0
 96-106,0,0,15.3,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,26.04,0.77,0.77,0,0.77,1.53,0,5.36,0,0,0,0,0.77
120,0,0,11.76,0,0,0,0,0,0,0,1.96,0,0,0,0
