stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,245.19,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,5.26,0,0,2.63,0,0,10.51,0,0,0,99.89,10.51,49.95,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,25.18,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,1,1,0,1,3,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,1.64,0,0,1.64,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,3.44,0,0.57,0.57,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,0.98,0,0,8.83,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,9.56,1.06,2.12,1.06,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,5.46,1.09,2.19,2.19,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,4.6,0,0,0,0,13.79,1.53,1.53,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
