stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,24.52,410.69,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,1,20,0,0,0,0,0,0,1,0,0,9,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0,0.82,4.1,0,0,0,0,0,0,0,1.64,0,2.46,56.64,0,1.64,0,0,0,0.82,0,0.82,1.64,14.78,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,8.06,0,0,0,2.42,0,0,0,0,0,0,0,4.83,0,0.81,143.41,0,5.64,0,0,0,0,0,0,0,32.23,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,16.07,0,0,0,4.02,0,0,0,0,0,0,0.57,4.59,0,0.57,125.66,0,1.15,0,0,0,0.57,0,0,0,32.13,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,20.61,0,0,0.98,13.74,0,0,0,0,0,0,0,5.89,0.98,0.98,157.04,0,0.98,0,0,0,0,0,0,0,29.45,0,0,0,0
 72-82,0,0,0,0,0,0,0,31.41,0,0,0,10.8,0,0,0,0.98,0.98,0,1.96,10.8,0,0,158.05,0.98,1.96,0.98,0,0,1.96,0,0,0,5.89,0,0.98,2.94,0
 84-94,0,0,0,0,3.19,1.06,0,12.74,0,1.06,0,8.5,0,0,0,0,1.06,0,1.06,5.31,1.06,0,73.28,1.06,0,0,0,0,0,0,0,0,7.43,0,1.06,0,0
 96-106,0,0,1.09,0,0,0,0,14.21,0,1.09,0,14.21,0,0,0,0,0,0,1.09,5.46,1.09,1.09,53.55,0,1.09,0,0,1.09,2.19,0,0,0,4.37,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0.77,8.43,0,2.3,0,7.66,0.77,0,0,0.77,0.77,0.77,0,4.6,0,0,69.7,0.77,1.53,0.77,0,0.77,0.77,0,0,0,2.3,0,0.77,0.77,0
120,0,0,0,0,0,0,0,15.68,1.96,0,0,5.88,0,0,1.96,0,0,0,1.96,7.84,0,0,70.55,0,0,0,0,0,3.92,0,0,0,9.8,1.96,1.96,0,0
