stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,16,1,5,0,0,0,0,0,0,8,0,2,10,0,0,0,0,0,0,1,2,3,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0,0,0,14.78,0,3.28,21.34,0,1.64,0,0,4.1,0,0,0,10.67,0,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,0.81,0,0,0,0,4.83,0,8.06,35.45,0.81,1.61,0,0,0.81,0.81,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,0,7.46,1.15,2.87,0,0.57,0.57,0,2.3,0,5.74,53.36,0,0.57,0,0,0.57,0,0,0,22.95,0,0,0,0,0
 60-70,0,0,0,0,10.8,0,1.96,0,0,0,0,6.87,0,2.94,93.24,0,0,0,0,3.93,0,0,0,45.15,0,0,0.98,0,0
 72-82,0,0,1.96,0,22.58,0,8.83,0,0,0,0,10.8,0.98,0,199.28,0,0,0,0.98,0.98,0,0,0,36.32,0,1.96,0,0.98,0.98
 84-94,0,0,2.12,0,14.87,0,2.12,0,0,2.12,0,12.74,0,0,114.7,0,1.06,0,0,2.12,1.06,0,0,23.36,0,2.12,0,0,0
 96-106,0,0,2.19,2.19,18.58,0,21.86,0,0,1.09,0,7.65,1.09,1.09,154.09,0,0,0,0,1.09,0,0,0,18.58,0,1.09,2.19,2.19,0
108-118,0,0,0.77,0.77,20.68,0,22.21,1.53,0,0.77,0,10.72,0,0.77,151.66,0.77,0,0,0,0.77,0,0,0,15.32,1.53,0,0.77,0,0
120,0,0,1.96,1.96,31.36,0,31.36,0,0,0,1.96,7.84,1.96,1.96,186.18,0,3.92,0,0,0,0,0,0,37.24,0,0,0,0,0
