stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,1634.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,655.87,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,23.66,26.29,0,47.32,0,0,113.03,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,985.77,23.66,0,0,381.16,2.63,0,0,0,0,0,0,0
 10-12,0,47.2,0,53.5,0,6.29,144.76,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,934.65,12.59,0,0,349.31,9.44,3.15,0,28.32,0,0,0,0
 14-21,0,0,0,2,86,13,9,0,0,0,3,0,2,0,1,0,0,21,0,0,7,65,1,1,1,8,7,0,24,2,8,20,0,0
 24-34,0,0,0.82,0.82,11.49,0,6.57,0.82,0,1.64,3.28,0,0,0,0.82,0,0,13.95,0.82,0,6.57,38.58,0,0,0.82,0,4.1,0,0,0,0.82,11.49,1.64,0.82
 36-46,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0.81,0.81,6.45,0,0,0.81,0,1.61,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,2.87,0,1.15,0.57,0,0,0,0,0,0.57,0.57,1.72,0,0,0,2.87,0,0.57,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0,1.96,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,0,0,0,0,2.12,0,0,0,3.19,0,0,0,0,7.43,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,1.09,2.19,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,1.53,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
