stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,2,0,5,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,4.83,0,3.22,0.81,0,0,2.42,0,0
 48-58,0,0,1.72,0,0,18.36,0,1.15,0,0,0,0,0,0
 60-70,0.98,0,3.93,0,0,20.61,0,1.96,0.98,0,0,0.98,0,0
 72-82,0,0,3.93,1.96,0,23.56,0,4.91,0,0,0,0,0,7.85
 84-94,0,0,2.12,1.06,0,33.99,1.06,0,0,0,0,1.06,0,2.12
 96-106,0,0,2.19,2.19,0,46.99,1.09,3.28,0,0,0,0,1.09,10.93
108-118,0,0.77,0,2.3,0,28.34,0,4.6,0.77,0.77,0.77,0,2.3,3.83
120,0,0,0,1.96,1.96,27.44,0,5.88,0,0,0,0,1.96,7.84
