stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0.82,1.64,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0,0,0.81,2.42,0,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,1.53,0,0,0.77,1.53,0,0,0.77,0,0,1.53,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,13.72,0,0,0,0
