stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,8,0,4,0,0,0,0,3,1,0,0,1,0,0,0,1,4,0,0,3,38,0,1,0,1,0,0,0,2,0,1,16,0,0,1,0,0
 24-34,0,0,0.82,0.82,2.46,0.82,9.03,0,1.64,0,9.03,1.64,0,0,9.85,4.93,0,0,0,1.64,13.95,1.64,0,11.49,133.8,0.82,1.64,0.82,0,0,5.75,0,0,0.82,0.82,45.15,0,0,1.64,0,3.28
 36-46,0,0,0,0,2.42,0.81,16.92,0,0.81,0.81,21.75,0,0,0.81,9.67,2.42,0.81,0,0,3.22,18.53,0,1.61,3.22,168.38,0,1.61,0.81,0,0,3.22,0,0,0.81,0,39.48,0,0,0,0,4.03
 48-58,0,0,0,0,3.44,0,33.28,0,2.3,2.3,31.56,0,0,0,10.33,2.3,1.15,0,0,5.74,27.54,0.57,0.57,2.87,122.79,0,1.72,0.57,0,0,2.3,0,0,0,0,24.1,0,0.57,2.3,0,2.3
 60-70,0,0,0,0,5.89,0,74.6,0.98,0,2.94,34.35,0,0.98,0,18.65,2.94,1.96,0.98,0,0,26.5,0,0.98,5.89,148.21,0,0.98,2.94,0,0.98,1.96,0,0,0,0,24.54,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,5.89,0.98,95.22,0,2.94,8.83,78.53,0.98,0,0,27.49,4.91,2.94,1.96,0.98,0.98,60.86,0,1.96,2.94,178.66,0,0.98,5.89,0,3.93,0.98,0,0,0,0,19.63,0,0.98,6.87,2.94,4.91
 84-94,0,0,0,0,8.5,1.06,42.48,1.06,1.06,5.31,49.92,2.12,0,1.06,44.61,8.5,1.06,0,3.19,3.19,30.8,0,1.06,4.25,86.03,0,2.12,2.12,0,1.06,7.43,0,0,0,0,5.31,2.12,0,5.31,3.19,3.19
 96-106,0,0,1.09,0,13.11,1.09,54.64,0,0,2.19,44.81,2.19,0,1.09,40.44,10.93,5.46,0,0,0,43.71,0,0,1.09,97.26,0,0,0,0,1.09,2.19,0,0,0,0,7.65,0,2.19,9.84,2.19,0
108-118,0,0,0,0,6.13,0.77,32.17,0,2.3,3.06,42.89,3.06,0,0,39.83,9.19,9.96,0.77,3.83,5.36,26.81,0.77,3.06,2.3,88.09,0,1.53,6.13,0,3.06,2.3,0,0,0.77,0,1.53,0,0.77,7.66,3.06,1.53
120,0,0,0,0,9.8,0,19.6,0,1.96,1.96,29.4,0,0,0,66.63,15.68,5.88,0,0,1.96,25.48,1.96,0,1.96,117.59,1.96,5.88,3.92,0,1.96,3.92,0,0,0,0,3.92,0,0,9.8,5.88,0
