stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,1,2,0,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0.82,11.49,0,0,0,0,0,0,0,4.93,0,0.82,0,0
 36-46,1.61,0,0,7.25,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0.81,24.17,0,0,0,1.61,0,0,0,5.64,0,0,0,0.81
 48-58,0.57,0,0,3.44,0,0,0,3.44,0,0,0,0,0,5.74,0,0,0,14.35,0.57,0,0,2.3,0,0,0,5.74,0,1.15,0,0.57
 60-70,1.96,0,0,8.83,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,9.82,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,8.83,0,0,0.98,6.87,0,0,0,0.98,1.96,12.76,1.96,1.96,0,15.71,0.98,0.98,0.98,3.93,0,0,0,3.93,0,1.96,1.96,0
 84-94,2.12,1.06,0,5.31,0,1.06,1.06,3.19,0,0,0,0,0,5.31,2.12,1.06,0,4.25,0,0,1.06,3.19,0,0,0,0,1.06,3.19,0,0
 96-106,1.09,0,0,4.37,0,0,1.09,7.65,1.09,1.09,1.09,0,1.09,12.02,0,0,0,7.65,0,2.19,0,4.37,0,1.09,0,0,0,2.19,0,1.09
108-118,2.3,0.77,0,4.6,0.77,0,0,4.6,0,0,1.53,0,1.53,11.49,0,0,0,9.19,0.77,0.77,0.77,0.77,0,0,0,0,0.77,3.06,0.77,0
120,1.96,1.96,1.96,3.92,0,0,1.96,5.88,0,0,0,0,0,3.92,0,0,0,15.68,0,1.96,1.96,5.88,0,0,0,0,0,1.96,0,0
