stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,77,3,2,0,2,0,10,2,0,0,1,0,0,0,0,2,0,1,26,19,0,0,72,0,2,88,0,0,61,159,0,0,0,0,0
 24-34,0,0,0,89.47,2.46,4.93,0,30.37,39.4,33.66,4.1,0,0,0.82,0,0,0,0.82,17.24,0.82,61.56,35.3,32.83,0,0.82,0,0,7.39,2.46,0.82,13.13,219.17,291.4,0,0,5.75,0,0
 36-46,0,0,0,20.95,0,4.83,3.22,44.31,82.98,22.56,9.67,0,0,0,0,0,0,0.81,27.39,0,85.4,36.26,9.67,0,0,0,0,13.7,0.81,0,22.56,2.42,246.53,0,0,2.42,0,0.81
 48-58,0,0,0,9.18,0,8.03,2.3,38.44,80.33,16.64,4.02,0,0,0,0,0,1.15,0,39.59,0,45.9,39.59,5.74,0,0,0,0,18.36,0,0,9.18,0,257.06,0,0,2.87,0.57,0
 60-70,0,0,0,9.82,0,8.83,1.96,27.48,72.63,19.63,5.89,0,0,0,0,0,0,0.98,45.15,0,37.3,43.19,0.98,0,0.98,0,0,23.56,0,0,5.89,0,242.44,0,0,0.98,0,0
 72-82,0,0.98,0,11.78,0,13.74,5.89,38.28,92.28,53.01,12.76,0,0.98,0,0.98,0,0,0,57.92,0,37.3,56.94,4.91,0,0,0,0,22.58,0,0.98,0,0,199.28,0,0.98,1.96,0.98,2.94
 84-94,0,1.06,0,19.12,1.06,28.68,1.06,42.48,75.4,39.3,33.99,0,1.06,1.06,2.12,1.06,0,1.06,59.47,1.06,31.86,30.8,0,0,1.06,0,1.06,29.74,0,0,2.12,0,147.62,1.06,0,1.06,2.12,1.06
 96-106,0,5.46,1.09,24.04,2.19,19.67,0,36.06,61.2,30.6,38.25,0,0,0,0,0,1.09,2.19,43.71,0,16.39,37.16,4.37,1.09,1.09,0,0,18.58,0,0,3.28,0,66.66,0,0,2.19,1.09,0
108-118,0,3.83,0,14.55,1.53,8.43,0,46.72,56.68,17.62,22.98,0,0,0,0,0.77,0,0,43.66,0.77,20.68,32.94,1.53,0,0.77,0,0,13.02,0,0,1.53,0,52.09,0,0,3.06,0,0.77
120,0,0,0,13.72,0,5.88,1.96,23.52,60.75,25.48,13.72,0,3.92,0,1.96,0,3.92,0,74.47,0,11.76,29.4,1.96,0,3.92,0,0,19.6,0,0,5.88,0,33.32,0,0,1.96,0,0
