stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,66.09,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,2,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,1.64,0,0.82,0.82,0,1.64,1.64,0.82,0,0,0.82,1.64,0,0,5.75,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,2.42,0,0,3.22,0,4.03,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,2.3,0,0,0,0.57,0,0,0.57,0,0.57,0.57,0,0.57,0,0.57,4.59,0,2.3,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,4.91,0,0,0,0.98,0,0,1.96,0.98,0,0,0,4.91,0,0.98,0,0,2.94,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,4.91,0,4.91,0,0,0.98,0,0.98,0.98,0.98,3.93,0,0,0,4.91,0,0,4.91,0,3.93,0,0.98,0,0,0,0.98
 84-94,0,0,1.06,0,0,0,12.74,0,0,0,1.06,0,1.06,1.06,1.06,0,0,0,3.19,0,0,7.43,0,9.56,0,2.12,0,1.06,0,0
 96-106,0,0,0,0,8.74,0,4.37,0,0,2.19,0,1.09,2.19,5.46,5.46,1.09,0,0,2.19,0,2.19,13.11,0,20.76,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,5.36,0.77,1.53,0.77,0.77,1.53,0,0.77,0.77,3.06,3.06,2.3,0,0,3.83,0,0,11.49,0,9.19,0,0.77,0,8.43,0,0.77
120,0,0,0,0,3.92,0,0,1.96,0,0,0,0,3.92,7.84,1.96,0,0,0,3.92,0,1.96,9.8,0,7.84,0,0,0,7.84,0,0
