stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,2.46,0,7.39,1.64,0.82,0,0.82,0,0.82
 36-46,0.81,0,0,0.81,0,0,0,0,0,1.61,0,10.47,0.81,0,0.81,0.81,0,0.81
 48-58,0,0,0.57,0,0,0.57,0,0,0,3.44,0,7.46,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,2.94,0,21.59,0.98,0,0,2.94,0.98,0
 72-82,0.98,0,6.87,0,0,0,0,0.98,0,10.8,0.98,27.49,0,0,0,1.96,0,0
 84-94,1.06,1.06,3.19,2.12,0,0,0,2.12,1.06,4.25,3.19,9.56,2.12,1.06,0,1.06,1.06,0
 96-106,0,0,5.46,0,0,0,0,0,0,7.65,0,12.02,0,1.09,0,2.19,0,2.19
108-118,0,0,4.6,0.77,0.77,0,0.77,0,0,13.02,1.53,17.62,0,0,0,0,0,0
120,0,0,5.88,0,1.96,0,0,0,0,7.84,0,13.72,0,0,0,0,0,0
