stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
 24-34,0,1.64,0,0,0,0,0,0,0,0.82,0,73.06,0,0,4.1,0
 36-46,0,1.61,0.81,1.61,0,0,0,0,1.61,0,1.61,67.68,0,0.81,0.81,0
 48-58,0,0,7.46,2.3,0.57,0,0,0,0,2.87,0.57,45.9,0,0,1.72,0.57
 60-70,0,0,39.26,2.94,0,0,0,0,0,0.98,1.96,19.63,0,0,0,0
 72-82,0,0,38.28,0,0,0,0,0.98,0,1.96,0,25.52,0,0,0,0
 84-94,0,0,13.81,0,0,0,0,1.06,0,1.06,1.06,11.68,0,0,0,0
 96-106,0,0,17.49,4.37,0,0,0,4.37,0,2.19,0,5.46,0,0,0,0
108-118,0,0,14.55,3.83,0,0.77,0.77,1.53,0,0,3.06,9.19,0,0,0,0
120,0,0,7.84,1.96,0,0,0,5.88,0,0,0,5.88,0,0,0,0
