stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,24.52,251.32,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,5.26,5.26,2.63,0,5.26,0,0,0,0,0,107.78,2.63,0,31.54,0,0,0,0
 10-12,0,0,12.59,0,9.44,0,0,0,0,0,56.65,0,0,34.62,0,0,3.15,0
 14-21,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,1,2,0
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,1.64,5.75,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0.57,0.57,0,0,1.72,0,4.02,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
