stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,234,0,2,0,0,0
 24-34,0,1.64,0,2.46,0,0,0,0,1.64,0,0,0,4.93,2.46,10.67,0,0.82,0,441.62,0.82,4.1,0,0,0.82
 36-46,0,1.61,0,0.81,0,0.81,0.81,0,0,0,0,2.42,2.42,2.42,13.7,0.81,0,0,403.64,0,3.22,0.81,0,1.61
 48-58,0,1.15,0,2.87,0,1.72,0.57,0.57,0,0.57,0,2.87,0,0,6.89,0.57,0,0,189.36,0,2.3,0,0,0
 60-70,0,3.93,0,0.98,0,1.96,1.96,0,0,9.82,0,0,1.96,0,3.93,0,0,0,174.71,0,0.98,0,0,0
 72-82,0,6.87,0,3.93,0,0.98,0.98,0,0.98,14.72,0.98,0,0.98,0,5.89,0.98,0,0,131.54,0,0,0,0,0
 84-94,0,8.5,1.06,1.06,0,5.31,0,0,5.31,8.5,0,1.06,0,0,1.06,0,0,0,335.6,0,0,0,1.06,0
 96-106,0,16.39,0,3.28,0,2.19,1.09,2.19,3.28,4.37,0,2.19,1.09,0,2.19,0,0,0,251.35,0,0,0,0,0
108-118,0,15.32,0,1.53,0.77,5.36,0,0,3.06,2.3,0,0.77,3.06,0,2.3,0,0,0,193.79,0,0,0.77,0,0
120,0,13.72,0,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,5.88,0,0,0,150.9,0,0,0,0,0
