stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,9.44,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,62,1,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,3.28,0,0,1.64,0,8.21,0.82,0,0,139.55,0,0,0,0.82,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0,0,0,1.61,2.42,0,0.81,0,6.45,0.81,0,0,74.12,0,0.81,0,0,0
 48-58,0,0,1.72,0,1.15,0.57,1.15,0.57,1.15,0,1.15,0,0.57,0,0.57,5.16,0.57,6.89,0.57,0.57,0,90.09,0,0.57,0,0,0.57
 60-70,0,0,0.98,0,2.94,0,0.98,0,0.98,0,0,0,2.94,0,0,2.94,0,3.93,0,0,0,61.84,0,0,0,0,0
 72-82,0,0,6.87,0.98,3.93,0,0,0,0.98,0,0,0,3.93,0.98,0.98,4.91,0,7.85,0,0,0,107,0,0,0,0,0
 84-94,0,0,9.56,1.06,0,0,6.37,0,1.06,1.06,0,0,5.31,0,0,5.31,0,4.25,0,0,0,243.21,0,1.06,0,0,0
 96-106,0,0,26.23,0,1.09,0,1.09,1.09,1.09,3.28,0,1.09,9.84,2.19,2.19,5.46,0,3.28,2.19,0,0,140.98,0,0,0,0,0
108-118,0,0,26.81,0,0,0,3.83,0,3.06,0.77,0,0,3.83,0.77,0.77,3.83,0,3.83,0,0,0,136.34,0,0,0.77,0,0
120,0,0,15.68,0,0,0,0,0,0,1.96,0,0,5.88,1.96,0,3.92,0,1.96,0,0,0,119.55,0,0,3.92,0,0
