stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,26,3,10,0,0,0,2,1,1,0,0,0,0,0,0,9,0,0,6,151,5,0,1,2,0,7,1,17,0,0,11,56,0,0,2,0,1
 24-34,0,0,19.7,10.67,177.3,0,0.82,0,11.49,0,0,1.64,4.93,0.82,2.46,2.46,0.82,82.09,0.82,0,28.73,824.96,3.28,4.1,8.21,0,0,25.45,0,0.82,0.82,0,5.75,162.53,0,0,13.13,0,3.28
 36-46,0,0,16.92,20.14,195.78,0.81,2.42,0.81,15.31,0.81,0,0,0.81,0.81,0.81,0,1.61,46.73,0,0.81,9.67,472.12,3.22,4.83,5.64,0,0.81,15.31,0,0.81,0,0.81,0,78.96,0,0,4.03,0,2.42
 48-58,0,0.57,18.94,5.74,223.78,0.57,1.72,1.15,22.38,2.87,0,1.15,0.57,0,1.72,0.57,1.15,34.43,0,2.3,10.33,324.77,1.15,2.87,4.02,0,0,6.31,0,0,0.57,0,0,53.36,0,0,3.44,0,0
 60-70,0,0,38.28,3.93,277.77,0.98,9.82,1.96,32.39,7.85,0,0,3.93,0,5.89,2.94,0,74.6,0,2.94,9.82,270.9,1.96,0.98,3.93,0,0,11.78,0,0,0,0,0,26.5,0,0,9.82,0,0
 72-82,0,0,14.72,3.93,110.93,0,0,4.91,20.61,1.96,0,1.96,2.94,0.98,0.98,1.96,0.98,52.03,0.98,1.96,4.91,159.03,0.98,2.94,3.93,0,0.98,2.94,0,0,0,0,0,7.85,0,0,7.85,0.98,0
 84-94,0,0,16.99,4.25,59.47,0,0,3.19,12.74,2.12,0,2.12,6.37,2.12,0,0,2.12,54.16,1.06,5.31,4.25,101.96,2.12,1.06,0,0,0,6.37,0,0,1.06,0,0,2.12,4.25,2.12,7.43,1.06,0
 96-106,2.19,0,3.28,1.09,26.23,0,1.09,0,9.84,1.09,0,0,3.28,0,0,0,0,22.95,0,0,2.19,57.92,0,0,2.19,0,1.09,4.37,0,0,1.09,0,0,3.28,0,1.09,2.19,0,0
108-118,0,0,6.13,6.89,45.19,1.53,0,0.77,8.43,2.3,0,0.77,3.83,0,1.53,0.77,2.3,16.09,0,1.53,6.13,64.34,0.77,0,2.3,0,0,3.06,0,0,0.77,0,0,2.3,0.77,0.77,3.83,0,0
120,0,0,17.64,27.44,129.35,1.96,0,3.92,19.6,1.96,0,1.96,3.92,0,3.92,0,1.96,21.56,0,1.96,11.76,182.26,1.96,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,7.84,1.96,0
