stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,4,7,0,5,0,0,0,0,1,0,0,1,0,0,0,0,13,0,0,10,78,1,1,0,6,0,2,9,0,0,17,31,0,0,2,0,0
 24-34,0,0.82,4.93,0.82,0,9.85,0,0,0.82,2.46,0,0.82,0,0,0.82,0,0,0,22.98,0,0,5.75,149.4,0,1.64,0.82,0,0,4.93,0,0.82,0,2.46,22.98,0,0,4.1,0,0.82
 36-46,0,0,1.61,0,0,31.42,0,0,0,4.83,0,0.81,0,0,0.81,0,0,0,14.5,0,0,4.03,140.99,0.81,2.42,0.81,0,0,4.03,0,0,0,0,33.03,0,0,1.61,0,0.81
 48-58,0,0,3.44,0,0,60.82,0,0,1.72,8.03,0,0,0,0,0.57,0,0,0.57,14.35,0,0,2.3,130.83,0,0,0,0,0,0.57,0,0,0,0,32.13,0,0,3.44,0,0
 60-70,0,0,0.98,0.98,0,114.84,0,0,0.98,4.91,0,0,0,0.98,0,0,0.98,0,20.61,0,1.96,0.98,168.82,0,1.96,0.98,0,0,6.87,0,0,0,0,19.63,0,0.98,1.96,0,1.96
 72-82,0,0,1.96,3.93,0,70.68,0,0,0.98,9.82,0.98,0,0,0,0,0.98,0.98,0,26.5,1.96,0,2.94,133.51,0,1.96,0.98,0,0,3.93,0,0,0,0,6.87,0,0.98,3.93,0.98,0
 84-94,0,0,4.25,2.12,1.06,44.61,1.06,2.12,0,5.31,9.56,0,5.31,0,0,0,1.06,0,14.87,0,3.19,5.31,63.72,0,2.12,2.12,0,0,16.99,0,0,0,0,0,1.06,0,4.25,0,0
 96-106,0,0,9.84,3.28,0,27.32,0,0,1.09,6.56,4.37,1.09,5.46,3.28,1.09,0,0,0,9.84,1.09,1.09,2.19,54.64,0,0,1.09,0,2.19,22.95,0,0,1.09,0,0,0,1.09,3.28,0,1.09
108-118,0.77,0,6.13,5.36,0,23.74,0,2.3,0,9.96,1.53,0.77,7.66,1.53,0.77,0,0.77,0.77,11.49,0.77,0.77,4.6,62.81,2.3,1.53,0.77,0,0,22.21,0,0,0,0,0.77,0.77,0,3.06,0.77,0
120,0,0,13.72,5.88,0,27.44,0,5.88,0,7.84,3.92,0,5.88,0,0,0,3.92,0,7.84,1.96,0,3.92,43.12,0,3.92,0,0,0,9.8,0,0,0,0,5.88,0,0,0,0,0
