stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,9,1,0,4,0,0,0
 24-34,0,0,14.78,0,0,0,0,0,0,3.28,0.82,0,0.82,0,0,9.85,0,0,0.82,0,8.21,0,0,0.82,0,0,0
 36-46,0,0,9.67,0,0,0,0.81,0,0,0.81,0,0,0,0,0,12.89,0,0.81,0,0,8.06,0,0,0,0.81,0,0
 48-58,0,0,6.31,0,0,1.15,0.57,0.57,0,0.57,0.57,0,0,0,0,10.33,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,7.85,0.98,0,3.93,1.96,1.96,0,1.96,0.98,0,0,2.94,0,15.7,0,0.98,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,5.89,0,0,4.91,1.96,3.93,0.98,4.91,0,0,0,1.96,0,19.63,0,0.98,0,0,0.98,0,0.98,0,0,3.93,0.98
 84-94,0,1.06,27.61,6.37,0,2.12,3.19,2.12,3.19,14.87,1.06,0,0,2.12,1.06,15.93,0,1.06,0,0,2.12,0,0,0,0,12.74,1.06
 96-106,0,0,32.79,0,0,3.28,3.28,3.28,1.09,12.02,1.09,0,0,3.28,0,13.11,0,1.09,0,0,2.19,0,0,0,0,18.58,2.19
108-118,0,0,42.89,5.36,3.06,0,4.6,1.53,3.83,13.79,1.53,1.53,0,1.53,0,14.55,0,2.3,0.77,0,3.83,0,0,0,0,22.21,0.77
120,0,0,37.24,9.8,0,0,3.92,0,7.84,9.8,1.96,0,0,1.96,0,15.68,1.96,1.96,0,0,5.88,0,0,0,0,13.72,5.88
