stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,317.84,0,0,0,62.94,0,9.44,6.29,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,133,0,0,34,0,0,0,3,0,0,0,0,2,0,5,0,12,10,1,0,7,195,1,1,141,3,0,15,2,10,1,6,179,48,0,0,0,0,2
 24-34,0,0,0.82,87.01,0,0,41.04,8.21,11.49,2.46,8.21,0,0.82,0,0,6.57,0,19.7,0,30.37,40.22,0,0.82,24.63,289.76,2.46,4.1,34.48,0,0,67.31,1.64,0,4.1,8.21,50.89,79.62,0,0,4.93,0,0.82
 36-46,0,0,0,50.76,0,0,61.23,12.89,33.03,6.45,12.09,0,0,0,0,0.81,0,5.64,0,35.45,33.03,1.61,0,26.59,183.69,3.22,4.03,20.95,0,0,54.79,2.42,0,0,11.28,1.61,45.12,0,0,0,0,0.81
 48-58,0,0,0,36.15,0,0,45.9,8.03,41.89,8.03,15.49,0,0,0,0,0,0.57,2.3,1.15,15.49,45.9,1.72,0,18.94,263.38,8.03,2.3,28.69,0,0,28.69,0.57,0,0.57,5.16,0,36.72,0,0.57,0,0,0.57
 60-70,0,0,0,38.28,0,0,53.98,5.89,32.39,2.94,27.48,1.96,0,0,0,2.94,0,0.98,0,3.93,111.89,1.96,0,32.39,277.77,2.94,0,31.41,0,0.98,23.56,0.98,0,0,5.89,0,48.09,0,0,0.98,0,0
 72-82,0,0,0,40.25,2.94,0,128.6,11.78,42.21,8.83,82.46,2.94,0,0,1.96,2.94,0,14.72,0.98,0.98,264.07,1.96,0,35.34,451.56,0.98,4.91,56.94,0,1.96,11.78,0.98,0,0,2.94,0,42.21,0,0.98,3.93,2.94,0
 84-94,0,0,0,74.34,0,0,165.68,9.56,88.15,5.31,57.35,3.19,0,0,0,4.25,1.06,6.37,1.06,2.12,252.76,2.12,2.12,25.49,245.33,2.12,1.06,73.28,0,1.06,39.3,0,0,0,7.43,0,24.43,0,1.06,6.37,3.19,0
 96-106,0,1.09,0,85.24,2.19,1.09,169.39,28.41,99.45,8.74,73.22,7.65,0,1.09,1.09,2.19,2.19,31.69,1.09,2.19,226.22,4.37,3.28,42.62,330.04,1.09,3.28,106.01,0,3.28,24.04,0,0,0,17.49,0,15.3,1.09,2.19,6.56,2.19,2.19
108-118,0,0,0.77,80.43,0.77,3.06,162.38,36,167.75,9.96,66.64,4.6,0,0.77,0.77,1.53,0,27.57,3.06,1.53,202.21,1.53,0,45.19,346.98,0.77,3.06,77.36,0,3.83,18.38,0,0,2.3,14.55,0,8.43,1.53,0.77,6.13,3.06,0.77
120,0,0,0,50.95,3.92,0,68.59,31.36,64.67,5.88,47.03,0,0,0,1.96,5.88,0,23.52,0,3.92,172.46,1.96,0,43.12,309.65,1.96,3.92,62.71,0,0,7.84,0,0,3.92,1.96,0,3.92,0,0,7.84,1.96,0
