stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,1,0,0,1,0,1,3,0,0,7,0,0,0,0,0
 24-34,0,121.49,0.82,1.64,0,4.1,4.93,0,1.64,4.93,0,0,0,0,21.34,0,0,32.01,7.39,6.57,0,0,1.64,1.64,0,0.82,0,36.12,8.21,0,0.82,0,0
 36-46,0,81.37,0.81,0.81,0,5.64,18.53,0.81,0.81,7.25,0,0,0.81,0,116.82,0,2.42,50.76,6.45,6.45,0.81,0,0.81,0.81,0,0,4.83,0.81,13.7,0,0,0,0
 48-58,0,35.58,0,4.02,0,8.61,17.79,1.15,2.3,3.44,0.57,0,0,0.57,189.93,0,5.16,67.71,10.33,8.03,4.59,0,2.3,0.57,0,0,0,0,11.48,0,0.57,0,0
 60-70,0,20.61,0,4.91,0,4.91,9.82,0,3.93,0,0,0,0,0.98,219.86,0.98,7.85,53,7.85,0,2.94,0,2.94,0,0,0.98,0.98,0,4.91,0.98,0,0.98,0
 72-82,0,6.87,0,17.67,0,4.91,18.65,2.94,0,0,0,0,0,0,264.07,0.98,15.71,79.51,17.67,2.94,4.91,0,3.93,0,0,0,0,0,4.91,4.91,0,2.94,0
 84-94,0,20.18,0,15.93,0,9.56,16.99,3.19,0,1.06,0,1.06,0,0,179.48,0,10.62,44.61,8.5,3.19,5.31,0,3.19,0,0,0,0,0,4.25,1.06,0,7.43,1.06
 96-106,0,12.02,1.09,7.65,1.09,6.56,17.49,1.09,2.19,5.46,1.09,1.09,0,1.09,181.41,0,9.84,34.97,19.67,1.09,12.02,0,3.28,3.28,0,0,0,0,3.28,3.28,1.09,1.09,0
108-118,0,9.96,0,5.36,0.77,3.83,10.72,0,0.77,3.83,0,0,0,0,156.26,0,9.19,30.64,17.62,1.53,6.89,0,1.53,1.53,0,0,0,0,0,2.3,0.77,1.53,0.77
120,0,9.8,0,3.92,0,5.88,7.84,0,1.96,0,1.96,0,1.96,0,152.86,0,7.84,35.28,11.76,1.96,0,0,3.92,1.96,0,0,0,0,0,3.92,1.96,1.96,0
