stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,1041.06,17197.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.14,0,0,0,0,0,0,0,0
  5-6,1195.28,13423.9,30.65,0,0,0,0,0,0,42.91,0,0,0,0,0,318.74,49.04,0,122.59,275.83,0,0,0,0,0,0,0,0
  7-9,165.61,139.32,254.99,0,0,415.34,0,0,0,178.75,0,0,0,0,0,4313.72,223.44,0,1692.89,13.14,18.4,0,0,0,0,0,0,0
 10-12,3.15,59.79,110.14,0,6.29,210.85,0,0,0,25.18,0,0,0,0,0,1718.25,66.09,0,676.6,3.15,9.44,6.29,84.97,0,6.29,6.29,0,0
 14-21,0,0,4,76,17,22,0,1,2,0,1,1,1,25,24,225,13,2,7,7,0,63,7,5,73,83,1,0
 24-34,0,0,0,4.93,0.82,4.93,0,2.46,0.82,0,0,0,0.82,4.1,4.93,46.79,0.82,0,0,10.67,0,0,0,0,1.64,11.49,0.82,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,7.25,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,4.25,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
