stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,2,0,0,0,0,0,48,0,0,1,0,0,0,0,20,0,0,0
 24-34,0,0,0,0,7.39,3.28,0,0,0,0,2.46,116.56,0,1.64,1.64,0,0,0.82,0.82,35.3,0,0,0
 36-46,0,0,0,0,26.59,6.45,0,0,0,0.81,0.81,70.09,0,4.03,0,0,0,0,0,15.31,0,0,0
 48-58,0,0,0,0.57,29.84,12.05,0,0.57,0,0,0.57,29.84,0,0,0,0,0,0.57,0,10.9,0,0.57,0
 60-70,0,0,0,0,29.45,20.61,0,0,0.98,0,0.98,26.5,0,0.98,0,0,1.96,0,0,5.89,0,0.98,0
 72-82,0,0,0,0,17.67,15.71,0,0,0,0,4.91,21.6,0,0.98,0,0,0,0,0,3.93,0,0.98,0
 84-94,0,0,0,0,10.62,9.56,0,0,0,0,3.19,14.87,0,0,0,0,0,1.06,0,2.12,1.06,0,2.12
 96-106,0,1.09,0,0,13.11,8.74,1.09,0,0,0,5.46,7.65,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,6.89,9.96,0.77,0,0,0,3.06,6.13,0,2.3,0.77,0,0,0.77,0,0.77,0.77,0,0
120,0,0,0,0,15.68,3.92,0,0,0,0,5.88,11.76,0,1.96,0,0,0,0,0,0,0,0,0
