stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,4,0,7,28,4,0,0,0,0,0,0,0,1,14,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,11.49,0,0,0,0.82,0,0,0,0.82,0,0,15.6,0,4.1,77.98,1.64,0,0.82,0,0,0,0,0,0,33.66,0,0,0,0,0
 36-46,0,0.81,0,0,0,21.75,0,0,0,6.45,0,0,0,2.42,0,0,28.2,0.81,9.67,80.57,0.81,0,0,0,0,0,0,0,0,26.59,0,0,0,0,0
 48-58,0,0,0,0.57,0,34.43,0.57,0,0.57,4.59,0,0,0,0.57,0,0,20.66,2.3,4.02,39.02,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0,0.57,0
 60-70,0,0,0,0,0,230.66,0,0,0,6.87,0.98,0.98,0,0.98,0,0,24.54,2.94,2.94,125.63,2.94,0,0,0,0.98,0,0,2.94,0,11.78,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,360.27,0.98,0,0.98,24.54,0,0,0,6.87,1.96,0,35.34,0.98,8.83,127.62,2.94,0,3.93,0,0.98,0,0,0.98,0,7.85,0,1.96,0,2.94,0.98
 84-94,0,1.06,0,0,0,170.99,0,0,0,16.99,0,0,0,3.19,1.06,1.06,25.49,4.25,8.5,74.34,5.31,0,7.43,0,2.12,1.06,0,2.12,0,3.19,0,0,1.06,1.06,0
 96-106,0,0,0,5.46,0,232.78,1.09,1.09,1.09,33.88,1.09,1.09,0,12.02,0,0,29.51,2.19,13.11,99.45,7.65,1.09,14.21,0,4.37,1.09,1.09,2.19,0,2.19,1.09,0,4.37,0,0
108-118,0,0,0,1.53,0,173.87,0.77,0,0.77,17.62,0,0.77,0.77,9.19,1.53,0,23.74,0.77,5.36,113.36,5.36,0,8.43,0,0,0,0,1.53,0,2.3,0,1.53,0,0,0
120,1.96,1.96,0,1.96,0,127.39,0,0,0,13.72,0,0,0,9.8,0,0,31.36,1.96,3.92,113.67,3.92,0,5.88,0,0,5.88,0,0,0,0,0,1.96,0,0,0
