stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,3.15,0,0,25.18,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,40,17,0,20,0,1,0,3,3,6,0,0,0,0,0,0,133,0,0,55,230,2,0,1,2,0,0,0,12,4,2,10,74,0,0,2,0,0
 24-34,0,0,1.64,1.64,18.88,0.82,0,74.7,0,0,0,4.1,0.82,4.93,0,0.82,0,0,0,0,80.44,0,0,17.24,854.51,0.82,4.93,1.64,0,0,5.75,0,0,0,0.82,2.46,195.36,0,0,4.1,0,0
 36-46,0,0,0,0,8.06,0,0,472.12,0,0,0,12.89,0,5.64,0,0,0,0,0,0,41.09,0,4.03,3.22,1759.58,0.81,3.22,1.61,0,0,3.22,0,0,0.81,0,0,341.6,0,0,2.42,0,0
 48-58,0,0,2.3,0.57,6.89,0,0,549.71,0,0.57,2.3,33.28,0,4.02,0.57,0,0.57,0.57,0.57,0.57,26.4,0,4.59,5.16,1600.92,0.57,1.15,1.15,0,0,4.59,0,0,0,0,0,328.22,0,0,0.57,0,0
 60-70,0,0,0,0.98,4.91,0,0,812.7,0,0,0,73.61,0,0,0,0.98,0,0.98,0,0,29.45,0,2.94,6.87,1850.17,0,1.96,2.94,0,0.98,7.85,0,0,0,0,0,224.77,0,1.96,3.93,1.96,0
 72-82,0,0,2.94,0.98,15.71,3.93,0,1073.94,0,0.98,1.96,70.68,0,0.98,1.96,0.98,0.98,0.98,0,1.96,57.92,1.96,1.96,0.98,1782.7,0.98,1.96,2.94,0,1.96,1.96,0,0,0,0,0,89.33,0,1.96,4.91,1.96,4.91
 84-94,0,0,2.12,2.12,14.87,3.19,0,828.39,2.12,3.19,3.19,53.1,0,2.12,3.19,0,4.25,0,0,2.12,27.61,0,6.37,3.19,964.33,2.12,1.06,6.37,0,0,6.37,0,0,0,0,0,64.78,2.12,4.25,2.12,0,0
 96-106,0,0,2.19,1.09,16.39,2.19,0,754.06,2.19,1.09,2.19,57.92,2.19,6.56,2.19,1.09,0,3.28,3.28,1.09,29.51,0,4.37,2.19,820.73,0,4.37,18.58,0,3.28,10.93,0,0,0,0,0,20.76,3.28,3.28,4.37,5.46,0
108-118,0,0,1.53,8.43,16.09,3.83,1.53,574.47,0,1.53,0.77,53.62,0,2.3,2.3,0.77,1.53,1.53,1.53,0.77,25.28,0,6.89,4.6,965.88,0,1.53,6.89,0,2.3,3.83,0,0,2.3,0,0,15.32,6.13,1.53,2.3,6.89,1.53
120,0,0,0,1.96,11.76,3.92,0,495.83,0,1.96,1.96,56.83,3.92,0,0,1.96,0,1.96,0,0,25.48,1.96,1.96,5.88,977.93,1.96,1.96,7.84,0,0,5.88,0,0,1.96,0,0,15.68,3.92,1.96,1.96,3.92,0
