stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,hatching_gland,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,57.83,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,53.5,9.44,22.03,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,1,2,5,0,151,0,1,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,5.75,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,1.61,0.81,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,0,4.02,0,0.57,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0.77,0,0,0,0,0,8.43,0.77,0,0,2.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0
