stage,axial,blastomeres,endocrine_pancreas,endoderm,exocrine_pancreas,eye,glial,gut,heart,ionocyte,mucous,neural,olfactory,otic,periderm
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,8.83,0.98,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,0,5.31,0,0,1.06,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,7.65,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,3.06,0.77,1.53,0.77,0,0,0,0,1.53,0,0.77
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96
