stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,254.9,9.44,0,0,50.35,0,0,6.29,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,5,17,7,0,8,0,0,7,1,0,0,0,1,0,0,0,0,13,0,0,10,165,6,2,1,4,0,2,2,18,1,1,12,50,0,0,0,0,0
 24-34,0,0,0.82,0,12.31,0.82,0,56.64,0.82,0,9.85,0,0.82,0.82,0.82,1.64,0,0.82,0,0,37.76,0.82,0,10.67,367.74,0.82,8.21,3.28,0,0,5.75,0,0,0.82,0,2.46,79.62,0,0,11.49,0,0
 36-46,0,0,0,0,4.03,0.81,0,84.6,0.81,1.61,13.7,0,0,0,0,0,0,1.61,0,0,28.2,0,0,9.67,351.27,1.61,5.64,2.42,0,0,4.83,0.81,0,0,0,0,78.96,0,0,1.61,0,0
 48-58,0.57,0,0,0,2.3,0,0,101.56,0.57,4.02,26.4,0.57,0,2.3,1.72,1.15,0,0.57,0,0.57,41.31,0,1.72,6.89,215.18,0,2.3,0,0,0,4.02,0,0,0.57,0,0,41.89,0,0.57,4.59,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,156.06,2.94,0.98,24.54,0.98,0,0.98,2.94,0.98,0,0,0,0,55.95,0,3.93,6.87,263.05,0.98,2.94,1.96,0,0,3.93,0,0,0.98,0.98,0,36.32,0,0,0,0,0.98
 72-82,0,0,0.98,0,4.91,3.93,0,100.13,0.98,1.96,29.45,0,0,0,2.94,0.98,0,1.96,0,0,74.61,0.98,2.94,6.87,188.48,0,2.94,1.96,0,0,1.96,0,0,1.96,0,0,16.69,0.98,3.93,5.89,1.96,0.98
 84-94,0,0,0,0,12.74,7.43,0,80.71,4.25,2.12,23.36,1.06,1.06,0,9.56,3.19,3.19,1.06,0,1.06,49.92,0,0,8.5,130.63,2.12,1.06,6.37,0,0,22.3,0,0,1.06,1.06,0,5.31,2.12,0,4.25,2.12,1.06
 96-106,0,0,1.09,0,19.67,5.46,0,54.64,0,0,29.51,4.37,0,1.09,1.09,0,0,1.09,1.09,0,44.81,2.19,3.28,3.28,103.82,0,7.65,7.65,0,1.09,27.32,0,0,1.09,0,0,6.56,1.09,0,15.3,1.09,2.19
108-118,0,0,0.77,0,5.36,0,2.3,29.87,3.06,1.53,26.81,2.3,0,1.53,6.89,3.06,0.77,0.77,0.77,1.53,32.17,0,1.53,3.83,102.64,0.77,3.83,3.83,0,0.77,7.66,0,0,0,0.77,0,0.77,1.53,0.77,7.66,0.77,1.53
120,0,0,0,0,19.6,5.88,0,54.87,0,0,25.48,1.96,0,0,5.88,1.96,1.96,0,0,0,27.44,0,0,1.96,109.75,1.96,0,5.88,0,0,13.72,0,0,0,0,0,3.92,1.96,1.96,9.8,0,3.92
