stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,168.24,2.63,0,0,92,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,34.62,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.02,15.73,0,0,103.85,0,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,23,4,0,13,0,0,4,1,0,1,0,0,0,0,0,14,0,0,8,139,1,1,0,1,0,2,1,5,0,1,2,39,0,0,2,0,0
 24-34,0,0,0,0.82,12.31,0.82,0,59.1,1.64,0,6.57,0.82,0,0.82,0.82,1.64,1.64,0.82,0.82,42.68,0,0,16.42,467.89,1.64,4.93,1.64,0,0,4.1,0,0,1.64,0,4.1,78.8,0,0,11.49,0,0
 36-46,0,0,0.81,0,6.45,0,0,161.13,0,3.22,10.47,0,0,0,0.81,0.81,0,1.61,0.81,35.45,0,0.81,11.28,301.32,0,7.25,0.81,0,0,3.22,0.81,0,0,0,0,68.48,0,0,6.45,0,1.61
 48-58,0,0,0,0,1.15,0.57,0,153.78,0,1.72,16.07,0,0,0,0.57,0,0.57,0.57,0.57,37.87,1.15,0.57,5.16,155.5,0,2.87,0.57,0,0,1.15,0.57,0,0,0,0,22.95,0,0,2.3,0,1.15
 60-70,0,0,0,0,11.78,0.98,0,159.01,0.98,0.98,24.54,0,0,0.98,0,0.98,0,1.96,0,42.21,0.98,3.93,8.83,123.67,0,3.93,1.96,0,0.98,3.93,0,0,0,0,0,13.74,0,0,0.98,0,1.96
 72-82,0,0,0,0,12.76,6.87,0,82.46,0,0.98,23.56,0,0,0.98,1.96,1.96,0.98,2.94,0,65.77,0,0.98,5.89,121.73,0,6.87,1.96,0,0.98,5.89,0,0,0,0,0,5.89,0.98,0.98,8.83,2.94,0
 84-94,0,0,0,1.06,18.05,3.19,0,78.59,1.06,0,10.62,4.25,0,2.12,1.06,6.37,0,0,1.06,41.42,0,3.19,4.25,74.34,0,2.12,1.06,0,0,10.62,0,0,2.12,0,0,1.06,0,1.06,5.31,1.06,1.06
 96-106,0,0,0,0,15.3,2.19,0,37.16,2.19,2.19,16.39,2.19,0,0,1.09,1.09,0,3.28,0,18.58,2.19,3.28,4.37,62.29,1.09,7.65,6.56,0,0,13.11,0,0,1.09,0,0,4.37,0,1.09,8.74,2.19,1.09
108-118,0,0,0,0.77,15.32,3.06,0.77,38.3,3.83,3.06,13.79,2.3,0,0,1.53,0.77,1.53,1.53,0,26.81,0,0,3.83,55.92,0,3.83,3.83,0,0,9.96,0,0,0,0,0,0.77,0.77,0,6.13,0.77,2.3
120,0,0,0,0,15.68,0,0,25.48,3.92,0,19.6,3.92,0,0,3.92,0,0,0,0,25.48,0,0,0,54.87,0,3.92,3.92,0,0,7.84,0,0,0,0,0,1.96,0,1.96,5.88,0,0
