stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,362,0,0,5,1,0,1,1,102,0,0,0,0,0
 24-34,0,0,0.82,0,55.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,4.93,0,4.1,715.79,0.82,0,16.42,0,0.82,0.82,1.64,193.72,0,0,0,0,0.82
 36-46,0,0,0.81,0,49.15,0,0,0.81,2.42,0,0.81,0,0,0,0,0,0,0,7.25,0,1.61,1245.56,0,0.81,14.5,0,1.61,0,0,317.43,0,0,0,0,0
 48-58,0,0,2.87,0.57,67.71,0,1.72,0.57,16.07,0,0,1.15,0,0,0.57,1.72,0.57,0,11.48,0.57,1.15,1169.41,0.57,0.57,8.61,0,0,0,0,335.1,0,0,0.57,0,0
 60-70,0,0,3.93,0.98,30.43,0,0,0,9.82,0,0,0,0,0.98,0.98,0,0,0,8.83,0,0,771.48,0,1.96,7.85,0,0.98,0.98,0,228.69,0,0,0,0,0
 72-82,0,0,6.87,0.98,47.12,0,0.98,0,23.56,0,0,0,0,0,0,0,0.98,0,9.82,0,0,453.53,0,0,19.63,0,0,0,0,75.59,0.98,0,0,0.98,0
 84-94,0,0,5.31,1.06,47.79,0,0,3.19,16.99,0,0,0,0,0,0,0,1.06,1.06,12.74,0,1.06,306.93,0,2.12,22.3,0,1.06,0,0,61.6,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,31.69,1.09,0,0,12.02,1.09,0,0,2.19,0,0,3.28,0,0,4.37,0,0,173.76,0,1.09,21.86,0,1.09,0,0,27.32,0,0,1.09,0,0
108-118,0,0,2.3,0,14.55,0,0,0,13.79,0,0,0,0.77,0,0,3.83,0,0,3.83,0,0.77,182.3,0,0,19.15,0,0,0,0,15.32,0.77,0,0,0.77,1.53
120,1.96,0,1.96,0,21.56,0,0,0,15.68,0,0,0,0,0,0,3.92,0,0,1.96,0,3.92,148.94,0,0,17.64,0,1.96,0,0,9.8,1.96,0,0,0,0
