stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,131,1,0,3,0,5,0,0,0,0,0,0,2,0,7,0,18,0,0,3,16,1,9,6,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,198.65,0,0,1.64,0,13.13,0,0.82,0,0,0,0,13.13,0,47.61,0,51.71,3.28,0,12.31,38.58,0,29.55,17.24,0,0,1.64,0,0.82,0,5.75,0,0,6.57,0,0
 36-46,0,0,0,0,114.41,0,0,12.09,0,6.45,0,1.61,0,0,0,0,5.64,0,29,0,99.9,0.81,0.81,12.09,29,0,8.86,13.7,0,0,0,0,0,0,6.45,0,0,5.64,0,0
 48-58,0,0,0,0,77.46,0.57,0,17.79,0,7.46,0.57,2.3,0,0,1.15,0,2.87,0,29.26,0,175.58,0.57,0.57,12.62,37.87,0,6.31,15.49,0,0,1.15,0,0,0,4.59,0,0,2.3,0,0.57
 60-70,0,0,0,0,80.48,0.98,0,15.7,0,1.96,0,3.93,0.98,0,2.94,0.98,0,0,22.58,0,310.16,1.96,0.98,15.7,43.19,0,2.94,2.94,0,0,0.98,0,0,0,1.96,1.96,7.85,9.82,0,0.98
 72-82,0,0,0.98,0,130.56,1.96,0,40.25,0.98,3.93,1.96,7.85,13.74,0,9.82,0,6.87,0,25.52,0.98,499.67,2.94,3.93,28.47,78.53,0,3.93,13.74,0,0,4.91,0,0,0,6.87,13.74,8.83,23.56,0.98,1.96
 84-94,1.06,0,0,0,238.96,0,0,76.47,1.06,2.12,1.06,6.37,26.55,0,7.43,3.19,19.12,3.19,31.86,0,352.6,1.06,11.68,15.93,44.61,0,3.19,14.87,0,0,2.12,0,0,1.06,5.31,71.16,8.5,19.12,1.06,0
 96-106,0,0,0,0,313.65,2.19,2.19,61.2,0,6.56,1.09,12.02,63.39,0,13.11,3.28,18.58,1.09,29.51,2.19,381.4,2.19,7.65,16.39,93.98,1.09,9.84,9.84,0,1.09,6.56,0,0,1.09,3.28,118.03,7.65,18.58,2.19,1.09
108-118,0.77,0,0,0,223.66,4.6,3.06,22.98,0,3.83,1.53,3.83,80.43,0,6.13,2.3,16.85,0,16.09,1.53,428.94,0.77,6.13,9.96,58.21,0,2.3,13.79,0,2.3,3.83,0,0,0.77,3.06,147.06,5.36,19.15,0.77,0
120,0,0,0,0,141.1,1.96,0,31.36,0,5.88,1.96,5.88,19.6,1.96,13.72,0,11.76,0,7.84,0,364.52,1.96,21.56,7.84,48.99,0,1.96,15.68,0,1.96,1.96,0,0,3.92,5.88,33.32,0,13.72,1.96,0
