stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,10.51,0,0,0,28.92,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,210.3,13.14,0,0,78.86,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,25.18,0,3.15,0,69.23,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,494.07,34.62,0,0,125.88,0,3.15,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,24,3,0,19,0,0,0,1,7,2,0,0,9,1,0,4,2,16,0,0,12,129,17,0,2,9,0,2,19,2,0,24,47,0,0,1,0,1
 24-34,0,0,0.82,3.28,7.39,0.82,0,9.85,0,0.82,0,2.46,0,0.82,0,0,28.73,0.82,2.46,2.46,5.75,21.34,2.46,0,5.75,129.7,14.78,3.28,4.93,0,0,13.13,0,0,0.82,2.46,34.48,0,0,2.46,0,0.82
 36-46,0,0,0,0,3.22,0,0,8.86,0,0,0,4.03,0.81,1.61,0,0,14.5,0.81,1.61,3.22,0,14.5,4.83,0,1.61,81.37,4.03,1.61,5.64,0,0,7.25,0,0,0.81,0.81,18.53,0,0,1.61,0,0.81
 48-58,0,0,0,0,1.72,0,0,13.2,0.57,0,0,6.31,0.57,3.44,0,0,6.31,2.3,1.72,1.15,0.57,15.49,1.15,0.57,2.87,78.04,2.87,1.15,0.57,0,0,6.31,0,0,0,0,20.08,0,0,0,0,1.15
 60-70,0,0,0,0,6.87,0,0,34.35,0,0.98,0,21.59,3.93,3.93,0.98,0,4.91,1.96,1.96,1.96,0,27.48,2.94,1.96,0,122.69,2.94,2.94,1.96,0,0.98,11.78,0,1.96,0,0,14.72,0.98,0,1.96,0,2.94
 72-82,0,0,1.96,0,9.82,0,0,33.38,0.98,0,2.94,46.14,5.89,1.96,0,0,8.83,2.94,4.91,1.96,0.98,39.27,1.96,2.94,2.94,121.73,1.96,1.96,3.93,0,0,15.71,0,0.98,0,0,8.83,0,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,6.37,0,0,29.74,0,3.19,2.12,26.55,16.99,2.12,1.06,0,7.43,5.31,1.06,4.25,0,24.43,5.31,2.12,1.06,88.15,1.06,3.19,7.43,0,0,32.92,0,1.06,0,0,10.62,1.06,2.12,3.19,1.06,3.19
 96-106,0,0,1.09,1.09,8.74,2.19,1.09,37.16,0,3.28,2.19,32.79,14.21,0,1.09,2.19,10.93,2.19,3.28,5.46,0,28.41,3.28,4.37,5.46,68.85,2.19,7.65,5.46,0,2.19,30.6,0,0,0,0,12.02,1.09,1.09,2.19,3.28,2.19
108-118,0,0,0,0,9.96,0,3.83,39.83,0.77,0,1.53,32.17,18.38,0,0,0,15.32,9.19,0.77,9.96,0,32.94,3.83,0.77,4.6,62.81,2.3,2.3,3.83,0,0,29.11,0,0,0,0,1.53,0.77,4.6,0.77,0.77,5.36
120,0,0,0,0,13.72,0,1.96,29.4,0,5.88,0,17.64,17.64,0,0,0,15.68,5.88,0,11.76,1.96,39.2,1.96,1.96,1.96,84.27,7.84,3.92,1.96,0,1.96,29.4,0,0,0,0,0,3.92,0,1.96,1.96,3.92
