stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0.82,0.82,0.82,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0.81,1.61,0.81,0,0,0.81,0.81,0,0
 48-58,0,1.15,0,0.57,0.57,0,0,0,0,2.3,0,2.87,0,0.57,0.57,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0,0.98,0,0.98,0
 72-82,0,0,1.96,0,0,0,0.98,1.96,0,1.96,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,2.12,0,1.06,0,1.06,0,3.19,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0
108-118,0,0,2.3,0.77,0,0,0,0,0.77,0,0,0,0,0,0,1.53,0
120,0,0,1.96,0,0,0,1.96,3.92,0,3.92,1.96,1.96,1.96,1.96,0,0,1.96
