stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,37.76,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,16,13,0,0,0,0,0,0,13,0,0,0,0,42,0,0,23,21,0,0,0,1,0,0,12,0,281,524,4,0,2,0,0
 24-34,0,12.31,2.46,9.03,32.01,0,1.64,2.46,0,31.19,0,0.82,0,0,56.64,0.82,0,55.82,54.18,0.82,0,0.82,0,0,3.28,0.82,0.82,130.52,227.38,12.31,0,4.93,0,0
 36-46,0.81,4.03,0.81,1.61,39.48,0,2.42,0.81,0,26.59,0,0.81,0,0,49.15,0.81,2.42,24.98,21.75,0,0.81,2.42,0,1.61,0,0,0,87.01,12.09,1.61,0,0,0,0
 48-58,0,3.44,0.57,8.61,26.97,0,2.3,0.57,0,19.51,0,0,0,0,56.81,0,1.15,35,33.28,0,1.15,2.87,0,1.72,1.72,0,0,43.61,0,4.59,0.57,0,0.57,1.72
 60-70,0,1.96,0,4.91,41.22,0,2.94,3.93,0,12.76,0,0,0,0,45.15,0,1.96,25.52,16.69,0.98,0,1.96,0.98,0.98,1.96,0.98,0.98,21.59,0,3.93,0.98,0,0,0
 72-82,0,0.98,1.96,7.85,36.32,0,1.96,5.89,0,8.83,0,0,0.98,0,53.01,0,0.98,31.41,16.69,0.98,0,0.98,0,0,0.98,0,0,16.69,0,0.98,0.98,0,3.93,0
 84-94,0,0,0,11.68,47.79,1.06,3.19,3.19,1.06,12.74,0,0,0,0,33.99,0,3.19,36.11,14.87,0,1.06,0,0,0,0,0,0,29.74,0,1.06,1.06,0,1.06,0
 96-106,0,0,1.09,6.56,75.41,0,1.09,2.19,1.09,12.02,0,0,1.09,1.09,14.21,0,1.09,17.49,14.21,0,0,1.09,0,1.09,3.28,0,0,42.62,0,0,1.09,1.09,1.09,1.09
108-118,0,0.77,0.77,2.3,64.34,0,3.83,2.3,0,9.19,0.77,0,0,0.77,16.09,0,3.06,26.04,12.26,0,0,1.53,0,0.77,2.3,0,0,35.23,0,0.77,1.53,1.53,0.77,0
120,0,1.96,1.96,3.92,54.87,0,3.92,3.92,1.96,3.92,1.96,0,0,0,13.72,0,0,41.16,11.76,0,0,0,0,1.96,1.96,1.96,0,9.8,0,1.96,0,0,0,0
