stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,0,0,0,2.46,0.82,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0.81,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,1.72,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0,3.93,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,35.34,0,0,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,118.95,0,1.06,0,1.06,0,0,0,0,2.12,0,0,0
 96-106,1.09,0,3.28,0,0,2.19,0,3.28,2.19,0,0,0,0,345.34,0,2.19,2.19,37.16,0,0,2.19,0,1.09,1.09,0,0
108-118,0.77,0,5.36,0,0.77,0.77,1.53,2.3,0,0.77,0.77,1.53,0.77,638.05,1.53,2.3,0,19.92,0,0.77,0,1.53,1.53,0,1.53,0.77
120,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,241.05,1.96,0,0,9.8,0,0,1.96,0,1.96,0,0,0
