stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,75.53,9.44,0,0,12.59,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,4,0,0,0,0,1,0,40,0,0,0,0,0,0,0,4,0,24,1,0,3,1,1,0,4,27,2,105,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,43.51,0,0,0,0,0,0,1.64,2.46,2.46,29.55,1.64,13.13,2.46,0,0,0,0,13.95,1.64,75.52,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,1.61,0,20.95,0.81,0,0,0.81,0,0,0.81,0,0,18.53,0,19.34,0,0,0,0,0,4.83,0,36.26,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,17.21,0,0,0,0.57,0.57,0,0,1.72,0,14.35,0,18.36,1.15,0,0,0,0,1.72,0,32.13,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0.98,0,8.83,0,0,0,0,0.98,0,0,1.96,0,17.67,0,16.69,1.96,0,0,0,0,0.98,0,23.56,0,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0.98,28.47,0,0,0,0,4.91,0,0,4.91,0.98,30.43,0,30.43,11.78,0,0,0,0,0.98,0,21.6,0.98,0.98,0
 84-94,0,0,0,0,0,0,7.43,0,1.06,0,16.99,0,0,0,0,6.37,1.06,0,3.19,1.06,16.99,0,30.8,13.81,0,0,1.06,0,3.19,0,27.61,0,0,0
 96-106,0,2.19,1.09,0,1.09,0,3.28,0,1.09,0,22.95,1.09,0,0,0,10.93,0,0,3.28,0,12.02,0,36.06,16.39,0,1.09,0,0,1.09,0,14.21,0,0,0
108-118,0,0,0,2.3,0,0.77,3.83,0.77,2.3,0,16.85,0.77,0,0.77,0,10.72,0,0,3.06,0.77,20.68,0,32.94,13.79,0,0,0,0,1.53,0,15.32,0,0.77,0.77
120,0,0,0,0,0,0,5.88,0,0,0,3.92,0,0,0,0,5.88,0,0,0,1.96,15.68,0,7.84,9.8,0,0,0,0,1.96,0,5.88,0,0,0
