stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,117,0,0,0,0,0,0,1,0,0,2,0,0,3,1,0,3,5,1,0,1,0,0,1,0,0,8,3,0,0,0,0
 24-34,0,54.18,0,0,0.82,9.85,0,0,0,0,0,0,0,0.82,24.63,0.82,0,2.46,7.39,3.28,0,0,0,4.93,0,0.82,3.28,4.1,4.93,0,0,0.82,0
 36-46,0,12.89,0,0,0.81,8.86,0,0,0,0,0.81,0,0,0.81,25.78,0,0,4.83,5.64,2.42,0,0,0,0.81,0,0,0,0,1.61,0,0,0.81,0
 48-58,0,3.44,0,0,2.3,9.18,1.15,0.57,0,0.57,6.31,0,0,0,32.71,0.57,0,7.46,8.61,2.3,0.57,0,0,1.72,0,0,0,0,2.3,0,0,0,0
 60-70,0,3.93,0,0,0.98,6.87,1.96,3.93,0,0,4.91,0,0,0,59.87,0,0.98,3.93,13.74,0.98,0,0,0,7.85,0,0,0,0,2.94,0,0,0,0
 72-82,0,7.85,0.98,0,6.87,7.85,4.91,8.83,0,0,3.93,0,0,0.98,103.07,0,0,2.94,17.67,0.98,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0.98
 84-94,0,5.31,0,1.06,12.74,8.5,3.19,8.5,0,0,7.43,4.25,0,0,74.34,0,1.06,2.12,19.12,4.25,2.12,0,0,20.18,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,14.21,0,1.09,7.65,9.84,5.46,9.84,1.09,0,17.49,1.09,0,0,68.85,1.09,0,2.19,17.49,4.37,0,0,1.09,15.3,0,0,0,0,1.09,1.09,1.09,2.19,0
108-118,0,13.79,0,0,12.26,7.66,2.3,8.43,0,0,6.89,2.3,2.3,0,56.68,0,0,1.53,14.55,3.83,0,0,0.77,16.09,0,0,0,0,1.53,0,0.77,1.53,0.77
120,0,1.96,0,0,9.8,0,3.92,1.96,1.96,0,11.76,1.96,0,0,50.95,1.96,0,0,1.96,0,0,0,0,11.76,0,0,0,0,0,1.96,0,7.84,0
