stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,528.37,2.63,5.26,0,0,0,5.26,0,0,0,0,0,131.44,0,0,0,0,0,0,0,0,0,0,55.2,431.11,0,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,6.29,25.18,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,103.85,692.33,0,0,84.97,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,64,0,0,225,18,207,0,0,1,0,0,0,31,2,4,34,50,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,1.64,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,201.11,0,0,218.35,39.4,23.8,0,0,0,0,0.82,0,4.1,0.82,2.46,7.39,28.73,0,0,0.82,0,0.82
 36-46,0.81,0,0,0.81,0,0,4.03,0,0.81,4.03,1.61,0,0,0.81,0.81,0,0,0,0,269.9,0,1.61,125.68,31.42,4.03,0,0.81,0,0.81,1.61,0,0.81,0.81,0,0,20.95,0,0.81,0,0,0
 48-58,0.57,0,0,1.72,0.57,0,16.07,0,0.57,8.61,2.3,0,0,0.57,0.57,0,0.57,0,0,552,0,0,75.74,38.44,0,0,0,0,0.57,1.15,0,0,0,0,0,8.03,0,1.72,0,0,0
 60-70,0,0,0,0.98,0.98,0,15.7,0,0.98,14.72,1.96,0,0,0.98,0.98,0,0,0,0,905.94,0,1.96,41.22,37.3,0,0.98,0,0,0,0,0,0,0,0,0,4.91,0,4.91,0,1.96,0
 72-82,0,0,0,7.85,0,0,53.01,0.98,2.94,19.63,11.78,1.96,0,0,0.98,0,0,0.98,0.98,1423.41,1.96,5.89,59.88,49.08,0,0.98,1.96,0,1.96,1.96,0,0.98,0.98,0.98,0,8.83,0,7.85,0,5.89,0.98
 84-94,1.06,0,0,13.81,1.06,0,108.33,0,0,29.74,7.43,1.06,0,0,6.37,0,0,1.06,0,1051.42,0,4.25,35.05,19.12,0,1.06,1.06,0,2.12,1.06,0,0,1.06,0,0,3.19,0,10.62,0,4.25,1.06
 96-106,1.09,0,0,10.93,1.09,2.19,60.11,1.09,1.09,10.93,8.74,0,0,4.37,2.19,0,0,1.09,0,947.5,0,1.09,42.62,44.81,0,0,0,0,2.19,3.28,0,0,1.09,1.09,0,0,0,6.56,4.37,2.19,0
108-118,0,0,0,5.36,3.06,0,21.45,0,0.77,17.62,5.36,0,0,0,0,0.77,0,0.77,0.77,890.81,0.77,4.6,24.51,47.49,0.77,0,0.77,0,5.36,1.53,0,0,0,0,0,1.53,0.77,6.89,0,1.53,0
120,0,0,0,1.96,1.96,0,31.36,0,0,21.56,1.96,0,0,0,0,0,0,0,3.92,707.48,0,3.92,27.44,25.48,0,0,1.96,0,3.92,0,0,0,0,0,0,5.88,1.96,5.88,1.96,1.96,0
