stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,3,3,0,0,0,0,0,0,0,1,0,0,1,0,4,60,1,0,0,0,0,10,0,0,3,16,0,0,0,0
 24-34,0,0,2.46,0,5.75,0,0,0,0,0,0,0,0,0,1.64,7.39,0,2.46,54.18,0,0.82,0,0,0,0,0,0,0,9.85,0,0,0.82,0.82
 36-46,0,0,1.61,0,16.92,0,0.81,2.42,0,0,0,0,0,0,0,3.22,0.81,1.61,55.59,0.81,1.61,0.81,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0,9.75,0,0,2.87,0.57,0,0.57,0,0,0,0,2.87,0,0.57,14.92,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0.98,0,13.74,0,0,1.96,0,0,0,0,0,0,0,4.91,0.98,0,11.78,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,1.96,0.98,6.87,0,0.98,3.93,0,0,0,0,0,1.96,0,10.8,0.98,0.98,14.72,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,1.06,0,6.37,0,0,4.25,1.06,0,0,1.06,0,0,0,6.37,0,2.12,16.99,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,2.19,0,0,1.09,0,0,1.09,0,0,0,1.09,5.46,0,0,7.65,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,3.83,0.77,0,1.53,0.77,0,0,0,0,0,0,8.43,0,0,14.55,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
