stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.69,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,15.77,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,7.89,0,84.12,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,88.12,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,900.03,9.44,0,0,28.32,0,47.2,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,7,1945,8,0,13,0,12,0,1,7,20,0,0,67,0,0,0,0,5,15,0,0,32,1,5,7,1,0,713,3,6,6,14,0,0,3,0,0
 24-34,0,0,2.46,1107.33,0.82,0,8.21,0,92.76,0,0,4.1,4.93,0,0.82,77.98,0,18.88,0,0,6.57,45.97,0,2.46,121.49,1.64,24.63,3.28,0,0,1072.04,0,10.67,0.82,12.31,0,0,3.28,0,0
 36-46,0,0,0,690.46,0,0,9.67,1.61,115.21,1.61,1.61,4.83,11.28,0,0,38.67,0,17.72,0,1.61,4.83,40.28,0,4.03,130.52,0.81,28.2,1.61,0,0,1019.17,0,6.45,0,20.14,0,0,2.42,0,0.81
 48-58,0,0,0,558.31,0,0,25.82,0,161.24,0.57,4.59,0.57,37.87,0.57,1.15,24.1,0.57,16.07,0,1.72,12.62,27.54,0,0.57,93.53,0.57,28.12,1.72,0,0.57,831.44,0,1.15,0,14.92,0,0,1.15,0,2.87
 60-70,0,0,0,617.38,0.98,0,31.41,0.98,153.12,1.96,5.89,6.87,15.7,0,1.96,47.11,0,31.41,0,2.94,9.82,25.52,0,0.98,89.32,0,33.37,3.93,0,0,705.71,0,5.89,0,6.87,9.82,0,1.96,0.98,0
 72-82,0,0,0,587.03,0.98,0,26.5,0.98,139.4,0,6.87,13.74,12.76,0,3.93,60.86,0,25.52,0,0,18.65,35.34,0,0.98,69.7,0,34.36,3.93,0,0,617.47,0,0.98,0,2.94,31.41,0,4.91,0.98,0
 84-94,1.06,0,0,938.84,2.12,0,13.81,1.06,233.65,2.12,3.19,35.05,18.05,1.06,0,111.51,2.12,47.79,1.06,3.19,14.87,35.05,0,3.19,36.11,0,50.98,3.19,0,0,1350.91,0,11.68,0,3.19,126.38,1.06,1.06,3.19,0
 96-106,0,0,0,1097.22,1.09,0,17.49,0,287.42,1.09,1.09,95.08,2.19,0,6.56,124.58,0,44.81,1.09,2.19,10.93,49.18,1.09,1.09,76.5,0,97.26,2.19,0,1.09,1133.28,0,6.56,0,2.19,193.43,0,2.19,0,0
108-118,0,0,0,1073.11,2.3,0.77,19.15,0.77,393.7,1.53,7.66,105.7,0.77,0,5.36,143.24,0.77,42.13,3.06,1.53,12.26,45.19,0.77,1.53,55.15,0,50.55,1.53,0,0,1018.73,0,12.26,0,2.3,215.24,0,1.53,0.77,2.3
120,0,0,0,827.03,1.96,0,15.68,0,219.5,3.92,5.88,45.08,0,0,7.84,52.91,0,27.44,0,0,13.72,29.4,1.96,1.96,60.75,0,47.03,0,0,0,654.57,0,7.84,0,0,64.67,1.96,0,0,0
