stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,15.73,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,1,1,19,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,1.64,178.95,0,0.82,0.82,0,0,0,0.82,0.82,46.79,0,0,0,0,0.82
 36-46,0,0,0.81,0,0.81,0,7.25,0,0,2.42,0,0,0.81,0,0,0,0,0.81,3.22,0,0,0,538.19,0.81,2.42,0.81,0,0,0.81,0,0.81,95.07,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,65.41,0.57,0.57,8.61,0,0,0.57,0,0.57,0,0,0.57,3.44,0,0,1.15,742.5,0,1.72,0,0,0,0,0.57,0,109.02,0,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,227.71,0.98,0,29.45,0.98,0,0,0.98,0.98,0,0,3.93,10.8,0,0,0,1320.15,0,4.91,0.98,0,0.98,0,0,0,158.03,0,0,0,0,2.94
 72-82,0,0,0,0,1.96,0.98,268.98,0,0,30.43,0.98,0,0,0,0,0,0,0,11.78,0,0,0.98,933.56,0,2.94,4.91,0,0,0.98,0,0,72.64,0,1.96,1.96,0.98,2.94
 84-94,0,0,1.06,0,1.06,0,165.68,0,0,46.73,1.06,0,0,0,0,1.06,1.06,0,19.12,0,1.06,2.12,521.46,0,3.19,1.06,0,0,3.19,0,0,46.73,1.06,1.06,1.06,0,3.19
 96-106,0,0,0,0,3.28,1.09,134.42,0,0,37.16,0,0,1.09,1.09,3.28,3.28,0,0,15.3,1.09,1.09,2.19,356.27,0,2.19,3.28,0,0,1.09,0,0,12.02,1.09,0,0,1.09,5.46
108-118,0,0,0.77,0,2.3,0.77,114.89,0.77,0,29.87,0,0,0,3.06,2.3,1.53,0.77,3.06,14.55,0.77,1.53,1.53,461.11,0,1.53,3.06,0,0,0,0,0.77,11.49,0,0,0,0.77,3.06
120,0,0,0,0,7.84,0,68.59,0,0,29.4,0,0,0,3.92,1.96,3.92,0,0,13.72,0,1.96,1.96,362.56,0,0,0,0,0,0,0,1.96,9.8,0,0,0,1.96,0
