stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,5.75,0,0,0,3.28,0.82,0,0,0,0,7.39,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.61,4.03,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0.81,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,1.15,3.44,0.57,0.57,0.57,0,0,1.72,0,0,2.87,0,0.57,1.15,0,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,1.96,4.91,0,0,0.98,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0.98,0
 72-82,0,0,7.85,6.87,3.93,0,0,0,0,2.94,0,0,18.65,0,0.98,1.96,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,9.56,4.25,2.12,0,0,0,0,3.19,2.12,0,25.49,1.06,0,1.06,0,0,1.06,0,2.12,0,0,9.56,1.06,0
 96-106,0,0,10.93,4.37,1.09,0,0,2.19,0,5.46,0,1.09,33.88,0,0,0,0,0,0,0,0,0,0,26.23,0,0
108-118,0,0,19.92,13.02,0.77,0,1.53,0,0,10.72,1.53,0,26.81,0,0.77,0.77,0,0,0,0,0,0.77,0,46.72,0,0
120,0,0,7.84,9.8,0,0,0,0,1.96,15.68,0,0,21.56,0,0,3.92,0,0,0,0,0,0,0,9.8,0,0
