stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,8,0,2,0,1,0,0,0,1,0,0,0,0
 24-34,0.82,0.82,0,0.82,0,0,2.46,3.28,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,10.47,2.42,0,0,4.03,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,1.15,0.57,0,12.62,1.15,0.57,0,5.74,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0.98,0.98,0,0,7.85,7.85,0,0,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,6.87,2.94,0,0.98,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,3.19,0,0,7.43,7.43,0,0,1.06,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,0,0,10.93,9.84,1.09,3.28,4.37,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0.77,12.26,6.89,0.77,2.3,2.3,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,1.96,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
