stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,0,15.77,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,144.58,5.26,0,0,73.6,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.17,3.15,0,0,107,3.15,6.29,3.15,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,6,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,35,0,0,0,3,0,0,1,0,0,4,4,0,0,0,0
 24-34,0.82,0.82,0.82,2.46,0,0,12.31,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,12.31,0,0,1.64,87.83,0,0,0.82,0,1.64,0,0,0,0,1.64,19.7,0,0,1.64,0
 36-46,0,0,0,0,0,0,18.53,0,1.61,0,3.22,0,0,0,0,0,0,0,0.81,6.45,0,0,2.42,53.98,0.81,0,0.81,0,1.61,0,0,0,0,0,17.72,0,0,0,0
 48-58,0,0,0,1.72,0,0,28.12,0,0,0,9.75,0,0,0.57,1.15,0.57,1.15,0,0.57,18.36,0,0.57,2.3,57.95,0,0,0.57,0,0.57,0,0,0,0,0,6.31,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,24.54,0,0,0,5.89,0.98,0,0,0.98,0,0,0,0,15.7,0,0,0.98,47.11,0,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,24.54,0,0,0.98,7.85,0,0,0,0,0,0,0,0.98,18.65,0,0.98,4.91,31.41,0,0.98,0,0,1.96,0,0,0,0,0,3.93,0,0.98,0.98,0.98
 84-94,0,0,0,4.25,0,0,7.43,1.06,0,0,4.25,0,0,0,1.06,0,0,1.06,1.06,11.68,0,4.25,1.06,19.12,1.06,0,1.06,0,4.25,0,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,3.28,1.09,0,3.28,0,0,0,4.37,2.19,0,0,3.28,0,1.09,0,0,18.58,1.09,0,3.28,17.49,2.19,0,1.09,0,3.28,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,4.6,0,0,6.89,0,0.77,0,1.53,0.77,0,0,0.77,0,0,0,0.77,8.43,0.77,0,0,6.13,0,0,0.77,0,1.53,0,0,0,0.77,0,0,0.77,0,0,0
120,0,0,0,7.84,0,1.96,9.8,3.92,0,0,0,3.92,0,0,0,1.96,0,1.96,0,7.84,0,1.96,3.92,17.64,0,0,0,0,5.88,0,0,0,0,0,0,0,0,3.92,0
