stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,735.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,18.4,0,0,0,31.54,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,670.32,5.26,0,0,97.26,0,21.03,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,18.88,0,3.15,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657.72,6.29,0,0,72.38,0,6.29,0,0,3.15,3.15,9.44,0,0,0,0,0
 14-21,0,0,2,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,36,0,0,1,0,0,2,0,1,0,3,17,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,58.28,0,0,0,0,0,3.28,0,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,7.25,0,0,2.42,2.42,0,0,0,0,0,0,0,0,0,5.64,0,0,1.61,41.89,0,0,0,0,0,0.81,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,0,0,9.18,0,0,0,2.3,0,0,0,0,0,0,0,0,0,8.03,0,0.57,0.57,18.36,0,0,0,0,0,0.57,0,0,0,0,8.03,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,9.82,0.98,0,0,5.89,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0,10.8,0.98,0,1.96,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,0,4.91,0,0,0,20.61,0,0,0,0,0,0,0,0,0,14.72,0.98,0.98,4.91,3.93,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,2.12,0,5.31,0,0,0,6.37,3.19,0,0,0,0,0,0,1.06,0,7.43,0,0,0,6.37,0,1.06,1.06,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,7.65,1.09,0,8.74,0,1.09,0,19.67,7.65,0,1.09,1.09,0,0,0,0,0,21.86,0,0,2.19,12.02,1.09,1.09,0,0,2.19,5.46,0,0,0,0,2.19,0,2.19,1.09,4.37,0
108-118,0,0,0,39.06,0.77,1.53,6.89,0,3.06,0,29.11,11.49,0,3.83,2.3,2.3,5.36,0.77,3.83,0.77,33.7,0,2.3,2.3,13.02,0,2.3,1.53,0,0.77,8.43,0,0,0.77,0,3.06,0.77,1.53,3.83,3.06,0.77
120,0,0,0,72.51,0,0,9.8,0,5.88,1.96,48.99,41.16,0,1.96,3.92,0,1.96,1.96,5.88,1.96,74.47,7.84,19.6,0,15.68,7.84,0,5.88,0,15.68,39.2,0,0,1.96,0,5.88,0,0,3.92,5.88,0
