stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,10,48,14,0,22,0,0,0,2,9,2,1,0,1,1,0,3,4,27,0,0,12,169,15,0,8,4,0,7,1,33,3,3,33,51,0,0,3,0,4
 24-34,0,1.64,4.93,27.91,5.75,0,47.61,0,4.1,0.82,12.31,3.28,0,2.46,4.1,6.57,1.64,1.64,3.28,20.52,56.64,0,0,27.09,275.81,9.03,0.82,6.57,0,0,26.27,0,0,3.28,0,2.46,63.21,0,0,22.98,0,22.16
 36-46,0,1.61,0,15.31,0.81,0,91.04,0,2.42,4.03,24.17,1.61,0.81,3.22,6.45,4.03,7.25,1.61,0.81,29.81,101.51,3.22,0.81,23.36,355.3,3.22,4.83,2.42,0,0,33.84,0.81,0.81,4.03,0.81,0,107.15,0,0,16.11,0,11.28
 48-58,0,0,0,9.18,1.72,0,70,0.57,4.02,2.87,42.46,0,1.15,4.02,6.89,1.15,13.2,2.3,1.15,25.25,103.86,3.44,2.3,13.77,110.74,4.02,2.3,6.31,0,0,14.35,0,0,0,0,0,49.92,0,0,13.2,0,10.33
 60-70,0,0.98,0,12.76,0.98,0,89.32,0,1.96,6.87,72.63,2.94,0.98,4.91,5.89,1.96,48.09,2.94,0,4.91,202.19,2.94,1.96,22.58,88.34,1.96,0,8.83,0,0.98,27.48,0,0,3.93,0.98,0,23.56,1.96,2.94,14.72,0,10.8
 72-82,0,4.91,0,7.85,1.96,0,39.27,0,0,7.85,42.21,1.96,0,1.96,8.83,4.91,24.54,1.96,0,4.91,142.34,9.82,2.94,8.83,60.86,0.98,3.93,4.91,0,1.96,15.71,0,0,2.94,0,0,0.98,4.91,2.94,24.54,5.89,3.93
 84-94,1.06,2.12,0,24.43,8.5,2.12,50.98,2.12,0,7.43,29.74,9.56,0,1.06,15.93,6.37,40.36,8.5,1.06,12.74,98.77,6.37,2.12,11.68,43.54,2.12,2.12,4.25,0,0,69.03,0,0,7.43,1.06,0,9.56,0,6.37,32.92,2.12,3.19
 96-106,0,1.09,0,22.95,3.28,1.09,32.79,1.09,2.19,5.46,25.14,17.49,0,1.09,15.3,7.65,26.23,4.37,1.09,6.56,63.39,3.28,1.09,6.56,39.34,1.09,4.37,8.74,0,0,61.2,0,0,1.09,0,0,0,2.19,3.28,16.39,7.65,4.37
108-118,0,0.77,0,31.4,6.13,1.53,30.64,0.77,5.36,1.53,12.26,16.09,0,0.77,13.79,3.06,38.3,3.06,3.06,3.83,46.72,3.06,1.53,4.6,37.53,1.53,2.3,3.83,0,0,34.47,0,0,3.83,0,0,2.3,2.3,1.53,13.79,2.3,2.3
120,0,3.92,0,37.24,1.96,1.96,17.64,0,3.92,1.96,15.68,17.64,0,0,23.52,1.96,17.64,3.92,1.96,3.92,41.16,3.92,0,3.92,31.36,5.88,1.96,3.92,0,0,48.99,0,0,3.92,0,0,0,3.92,3.92,19.6,0,0
