stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9,32,150,0,15,0,0,0,3,2,1,3,0,2,0,0,3,0,28,0,0,16,243,6,2,0,3,0,16,4,22,2,1,26,95,0,0,5,0,1
 24-34,0,2.46,18.06,192.08,0,61.56,0.82,2.46,0,5.75,2.46,0,3.28,5.75,4.1,1.64,1.64,2.46,0.82,55,0,0,21.34,502.36,2.46,10.67,7.39,0,0,50.89,0,0,3.28,1.64,12.31,165.81,0,0,20.52,0,4.1
 36-46,0,0,4.03,77.34,0,142.6,0.81,2.42,2.42,12.89,0,0,1.61,1.61,0.81,0,2.42,0,0.81,41.09,0.81,1.61,14.5,520.46,2.42,4.03,2.42,0,0,29.81,1.61,0,0,0,0,127.3,0,0.81,7.25,0,0.81
 48-58,0,1.15,6.89,161.81,0,190.5,1.72,1.72,4.02,32.13,1.15,0.57,1.72,5.16,2.3,1.15,1.15,2.87,2.3,78.04,0,4.02,13.2,533.64,0.57,4.59,1.72,0,0,13.2,0,0,0.57,1.15,0,107.88,0,0.57,7.46,0,1.72
 60-70,0,0,15.7,287.59,0,349.42,0.98,2.94,3.93,46.13,2.94,0,4.91,6.87,3.93,0.98,0.98,0.98,0,107.97,0.98,5.89,10.8,769.51,1.96,4.91,2.94,0,0,18.65,0,0,0.98,0.98,0,115.82,0,0.98,10.8,2.94,4.91
 72-82,2.94,0,13.74,299.41,0,226.76,0.98,1.96,0.98,62.83,6.87,0,7.85,11.78,1.96,0.98,2.94,0,2.94,134.49,2.94,3.93,9.82,539.91,0.98,5.89,8.83,0,0,18.65,0.98,0,0,0,0,45.16,0.98,3.93,26.5,2.94,6.87
 84-94,1.06,0,25.49,232.59,0,160.37,2.12,8.5,3.19,36.11,8.5,0,1.06,26.55,3.19,7.43,0,0,2.12,79.65,1.06,2.12,15.93,281.44,0,2.12,9.56,0,0,56.29,0,0,1.06,0,0,21.24,2.12,5.31,18.05,3.19,0
 96-106,3.28,0,24.04,281.95,1.09,96.17,1.09,4.37,4.37,31.69,7.65,0,8.74,31.69,4.37,3.28,5.46,2.19,0,55.74,2.19,6.56,6.56,186.88,3.28,4.37,9.84,0,1.09,48.09,0,0,1.09,0,0,10.93,0,1.09,18.58,9.84,4.37
108-118,0,0.77,25.28,163.92,6.13,82.72,3.06,6.13,1.53,30.64,7.66,0,3.06,25.28,5.36,3.06,0.77,3.06,3.06,53.62,0.77,4.6,10.72,219.07,3.06,5.36,6.13,0,1.53,31.4,0.77,0,1.53,0.77,0,12.26,3.06,0.77,18.38,2.3,3.83
120,0,0,19.6,160.7,5.88,74.47,0,1.96,1.96,27.44,5.88,0,0,31.36,1.96,3.92,0,1.96,0,37.24,1.96,3.92,11.76,258.69,3.92,0,7.84,0,1.96,41.16,0,0,0,3.92,0,5.88,3.92,0,7.84,3.92,7.84
