stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,44.69,2.63,7.89,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,44.06,3.15,28.32,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,10,0,0,1,2,0,2,2,1,0
 24-34,0,0,0,0,2.46,0,1.64,0,0.82,0.82,0.82,0.82,0,0,0.82,9.03,0.82,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,1.61,0.81,0,6.45,0.81,0,0.81,0,0,0,1.61,0.81,0.81
 48-58,0,0,0,0,0,0,2.87,0,0.57,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,7.85,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0,4.25,1.06,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,2.19,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0.77,1.53,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
