stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,2,0,1,0,0,0,0,0,0,0,3,0,0,17,2,0,0,0,0,0,2,0,1,4,12,0,0,2,0,0
 24-34,0,0,0,0.82,2.46,0,1.64,0,0.82,0,2.46,0,0.82,0,0,0,7.39,0,4.93,41.86,0.82,0,0,0,0,0,0,0,1.64,1.64,9.03,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,13.7,0,0,1.61,10.47,0.81,0.81,0,0,0.81,13.7,0.81,3.22,135.35,1.61,0.81,0,0,0,0,0,0,0,0,35.45,0,0,4.03,0,0
 48-58,0,0,0,0,0.57,0,8.61,0,0,0,10.9,0,0,0,0,0,19.51,0.57,2.3,70.58,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,18.65,0.98,0.98,0,21.59,0,0,0,0.98,0,28.46,0,5.89,116.8,0,0,0,0,0.98,0,0,0,0,0,9.82,0,0,3.93,0,0
 72-82,0,0,0,0,0.98,0,14.72,0.98,0.98,0,9.82,0,0,1.96,0.98,0,34.36,0,0.98,46.14,0,0,1.96,0,0.98,0,0,0,0,0,8.83,0,1.96,1.96,0.98,0.98
 84-94,0,0,1.06,0,2.12,0,7.43,0,0,0,9.56,0,0,0,1.06,0,19.12,1.06,2.12,40.36,0,0,0,0,0,0,0,0,0,0,2.12,0,0,1.06,2.12,0
 96-106,0,0,0,0,3.28,1.09,5.46,0,1.09,1.09,4.37,0,0,0,0,0,13.11,0,2.19,20.76,1.09,0,2.19,0,0,0,0,0,0,0,3.28,1.09,0,1.09,0,0
108-118,0,0,0,0,3.06,0,3.83,0,0.77,2.3,7.66,0,0,1.53,0,0,11.49,0,0.77,29.87,0.77,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0.77,0.77,0,0
120,0,0,0,0,1.96,0,7.84,0,0,0,3.92,0,0,0,0,0,7.84,0,0,19.6,3.92,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0
