stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,12,3,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,4,9,12,0,0,0,0,2,0,0,25,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,1.64,0,0.82,0,0.82,0,5.75,0,0,0,0,32.01,0,0,4.1,35.3,0,0.82,0.82,0,0,3.28,0,0,19.7,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,6.45,0,0,0,0,0,5.64,0,0,0,0,66.06,0.81,0.81,3.22,49.95,0,2.42,0,0,0.81,1.61,0,0,12.89,0,0.81,2.42,0,0.81
 48-58,0.57,0,0,1.72,0.57,0,22.95,0,0,4.59,5.74,0,10.33,0,0,0,0,170.99,1.72,0.57,4.59,53.94,0.57,1.72,0.57,0,0,1.15,0,0,9.75,0,2.3,4.59,0,1.15
 60-70,0,0,0,1.96,0,0,25.52,0,0,5.89,5.89,0,7.85,0,0,1.96,0,293.48,0,1.96,10.8,61.84,0,0,1.96,0,3.93,0.98,0,0,6.87,0,7.85,4.91,0.98,0
 72-82,0,0,0,10.8,0,0,32.39,1.96,0,12.76,10.8,0.98,29.45,0,0.98,1.96,0,477.09,0.98,5.89,18.65,84.42,0,1.96,0.98,0,6.87,0.98,0,0,3.93,0,15.71,33.38,0,0
 84-94,0,0,0,10.62,2.12,3.19,42.48,0,0,12.74,3.19,2.12,16.99,1.06,1.06,1.06,0,287.81,1.06,5.31,9.56,62.66,2.12,2.12,3.19,0,6.37,0,0,0,1.06,2.12,7.43,30.8,2.12,0
 96-106,0,0,0,10.93,3.28,0,38.25,1.09,2.19,10.93,12.02,6.56,46.99,2.19,0,0,2.19,343.15,3.28,6.56,9.84,67.76,2.19,3.28,7.65,0,12.02,4.37,2.19,1.09,1.09,1.09,7.65,50.27,2.19,0
108-118,0,0,0,11.49,0,3.06,27.57,0,2.3,8.43,6.89,6.89,19.15,3.06,0,0,0,340.09,2.3,4.6,9.19,63.57,0,0.77,5.36,0,13.02,3.83,0,0.77,2.3,7.66,6.89,43.66,0.77,0
120,0,0,0,11.76,0,0,13.72,0,0,5.88,3.92,5.88,13.72,0,3.92,0,0,278.29,0,0,7.84,74.47,0,0,1.96,0,1.96,0,0,1.96,1.96,0,1.96,37.24,0,0
