stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,447.46,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,21.03,63.09,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,25.18,28.32,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,4,1,0,0,18,1,0,0,1,283,3,0,0,4,6,0,0,0,0,0
 24-34,0,0,7.39,1.64,0,2.46,0,1.64,0,2.46,3.28,0.82,0.82,0,11.49,0,0.82,0,0,8.21,13.13,0,1.64,80.44,0.82,8.21,2.46,0,669.82,0,3.28,0,1.64,22.16,0,0,1.64,0,0
 36-46,0,0,5.64,0,0,3.22,0.81,4.83,0,3.22,2.42,0,0,0,4.03,0,1.61,0,0.81,10.47,11.28,0,1.61,82.18,0,4.03,2.42,0,534.16,0,0.81,0,0,16.92,0,0,1.61,0,0.81
 48-58,0,0,10.9,0,0,18.36,0,4.02,0.57,2.87,0,0.57,0.57,0,5.74,0.57,2.87,0,0,10.9,5.74,0,2.3,67.14,2.3,5.16,2.87,0,351.74,0,0.57,0.57,0,11.48,0,0,1.15,0,0.57
 60-70,0,0,22.58,0,0,35.33,0,3.93,0.98,1.96,0,0.98,0,0,7.85,0,0,0,0,18.65,10.8,0.98,3.93,82.45,0,1.96,1.96,0,367.09,0,3.93,0,0,8.83,0.98,0.98,0.98,0,0.98
 72-82,0,0,41.23,4.91,0,31.41,0,6.87,0.98,2.94,7.85,1.96,0.98,0.98,20.61,0,5.89,0,0,26.5,18.65,0.98,0,66.75,0,9.82,3.93,0,477.09,0,0.98,0.98,0,7.85,3.93,1.96,0.98,0,0
 84-94,0,0,62.66,2.12,0,20.18,1.06,13.81,1.06,6.37,21.24,3.19,0,1.06,37.17,0,2.12,0,0,13.81,26.55,0,2.12,36.11,1.06,12.74,2.12,0,937.78,0,7.43,0,0,5.31,25.49,0,3.19,0,0
 96-106,0,0,124.58,2.19,1.09,24.04,0,22.95,2.19,8.74,66.66,0,0,3.28,57.92,0,4.37,2.19,0,12.02,26.23,3.28,2.19,43.71,0,30.6,4.37,0,1072.08,0,2.19,0,0,1.09,41.53,1.09,1.09,1.09,1.09
108-118,0,0,117.19,3.06,1.53,15.32,0.77,28.34,0.77,4.6,64.34,0,0,2.3,58.21,0.77,0.77,0.77,0,7.66,28.34,1.53,0.77,39.06,1.53,18.38,0.77,0,890.81,0,2.3,0,0,0,62.04,1.53,2.3,0.77,0
120,0,0,88.19,1.96,0,3.92,0,23.52,1.96,5.88,27.44,0,0,3.92,29.4,0,3.92,0,0,7.84,15.68,0,0,25.48,1.96,11.76,0,0,562.46,0,3.92,0,0,0,27.44,0,0,0,0
