stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,2965.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0
  5-6,110.33,1544.67,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0
  7-9,28.92,15.77,97.26,0,0,52.57,0,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0,457.4,28.92,0,0,212.93,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,15.73,22.03,0,0,47.2,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,311.55,12.59,0,0,122.73,0,0,6.29,6.29,18.88,3.15,0,0,0,0
 14-21,0,0,2,34,3,14,0,0,2,0,0,0,0,0,0,0,0,1,11,0,0,9,173,4,2,2,4,0,10,0,10,3,9,35,0,2,0
 24-34,0,0,0.82,9.03,1.64,27.09,0,0,5.75,0,0,0.82,0.82,0.82,0,0.82,0,0.82,20.52,0,0,8.21,348.04,3.28,2.46,2.46,0,0,24.63,0,0,0,0.82,95.22,0,2.46,0
 36-46,0,0,0,9.67,0,101.51,0.81,0.81,7.25,0,0,0.81,0,0,1.61,1.61,0,0,33.03,0,1.61,12.89,293.26,3.22,3.22,0.81,0,0,11.28,0,0,0.81,0,70.9,0,4.03,0
 48-58,0,0,0,1.72,0.57,157.22,0.57,0.57,5.16,0,0.57,1.72,0,0,0,0.57,0,0,23.53,0.57,1.15,4.59,156.07,1.15,2.87,0.57,0,0,6.31,0,0,0,0,20.08,0,0.57,0.57
 60-70,0,0,0,1.96,0.98,122.69,0.98,0,2.94,0,0,0,1.96,0,0.98,0,0,0.98,21.59,0,1.96,1.96,89.32,0.98,0.98,0,0,0,5.89,0,0,0,0,8.83,0,1.96,0
 72-82,0,0,0,9.82,0,59.88,0.98,0.98,21.6,0,0.98,0.98,0.98,0.98,0,0,0,0,29.45,0.98,2.94,2.94,87.37,0.98,2.94,1.96,0,0,2.94,0,0,0,0,10.8,0.98,2.94,0
 84-94,0,0,0,12.74,1.06,27.61,1.06,2.12,3.19,4.25,1.06,1.06,2.12,0,4.25,0,0,0,13.81,0,3.19,3.19,35.05,0,0,2.12,0,0,3.19,0,0,0,0,5.31,0,0,0
 96-106,0,0,0,3.28,1.09,17.49,1.09,0,7.65,3.28,0,1.09,2.19,0,1.09,0,0,0,10.93,0,2.19,2.19,39.34,0,1.09,1.09,0,0,10.93,0,0,0,0,2.19,0,4.37,0
108-118,0,0,0,3.06,1.53,16.09,0.77,0.77,7.66,0,0,0,0.77,0,2.3,0,0,0,4.6,0.77,0,3.06,38.3,1.53,0.77,1.53,0,0.77,7.66,0,0,0,0,0,0,2.3,0
120,0,0,0,15.68,1.96,11.76,0,0,5.88,0,0,1.96,1.96,1.96,0,0,1.96,0,19.6,0,0,0,37.24,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
