stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,36,3,0,1,0,0,2,1,0,9,1,0,0,1,0,5,0,0,1,19,1,0,0,0,0,1,4,0,6,11,0,0,0,0,0
 24-34,0,0,0.82,51.71,2.46,0,14.78,5.75,0,0,1.64,1.64,18.88,2.46,0,0,0.82,9.03,9.85,0,0,2.46,76.34,0,0.82,0,0,0,7.39,0,0.82,0,15.6,0,0,2.46,0,7.39
 36-46,0,0,0,24.17,0,0,15.31,4.83,0,10.47,2.42,0,32.23,0.81,0,0.81,0,4.83,17.72,1.61,0,1.61,73.32,0.81,0,1.61,0,0,7.25,0,2.42,0,18.53,0,0,2.42,0,4.83
 48-58,0,0,0,26.97,0,0,22.95,17.21,0.57,30.99,0.57,1.15,29.84,0,0,0,0.57,1.15,25.82,0.57,1.72,2.3,26.4,0.57,0.57,1.15,0,0,9.18,0,0,0,10.9,0,0.57,4.02,0,10.33
 60-70,0.98,0,0,49.08,0,0,42.21,17.67,0.98,122.69,1.96,0.98,33.37,0.98,0,0.98,0.98,0,43.19,0.98,0.98,2.94,31.41,0,0,0,0,0,25.52,0,0.98,0,5.89,0,0.98,1.96,0,10.8
 72-82,0,0,0.98,38.28,1.96,0,120.74,26.5,1.96,159.03,3.93,0,53.01,4.91,0,0,0,1.96,53.99,0.98,1.96,8.83,31.41,0.98,2.94,0.98,0,0,43.19,0,0,0,6.87,1.96,0,6.87,3.93,7.85
 84-94,0,0,0,101.96,1.06,0,66.91,37.17,0,114.7,6.37,1.06,94.52,6.37,0,1.06,1.06,1.06,47.79,3.19,2.12,2.12,24.43,2.12,1.06,1.06,0,1.06,107.27,0,1.06,0,5.31,5.31,2.12,6.37,2.12,6.37
 96-106,0,0,0,109.28,0,0,96.17,40.44,3.28,125.68,6.56,1.09,86.33,2.19,1.09,2.19,4.37,0,55.74,3.28,1.09,5.46,42.62,1.09,2.19,0,0,0,116.93,0,0,0,0,5.46,2.19,6.56,2.19,5.46
108-118,0,0,0,99.58,4.6,1.53,51.32,49.02,0.77,105.7,12.26,0.77,93.45,4.6,3.83,3.06,6.13,3.06,33.7,2.3,0,4.6,39.06,0.77,1.53,1.53,0,0.77,103.41,0,2.3,0,1.53,3.06,2.3,3.83,0,4.6
120,0,0,0,115.63,5.88,0,21.56,27.44,1.96,103.87,11.76,0,111.71,9.8,1.96,0,1.96,0,35.28,5.88,0,0,37.24,0,0,0,0,1.96,60.75,0,3.92,0,1.96,1.96,0,5.88,1.96,1.96
