stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,26.29,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,75.53,0,0,0,0,0,0,0,0,0,0,975.56,0,0,0,116.44,3.15,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,137,7,2,3,0,2,15,1,0,9,0,0,1,44,0,1,61,4,9,0,5,0,8,16,0,0,0,0,0
 24-34,0,0,0.82,0,10.67,0,4.1,10.67,0,0,1.64,0,0,10.67,0.82,0.82,2.46,41.04,0,0.82,1.64,0,9.03,0,0,0.82,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0.81,0.81,0,0,0,22.56,0,0,4.03,24.98,0,0.81,1.61,0,14.5,0,0,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,2.87,0.57,0,2.87,0,0,0,36.72,0,0,1.72,4.02,0,2.3,0.57,0,9.75,0,0,0,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,4.91,1.96,1.96,4.91,0,0,0.98,55.95,0,0,2.94,5.89,0,0.98,0,0,7.85,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,5.89,2.94,0.98,2.94,0,0.98,0,84.42,0,0,0.98,10.8,0,0,0,0,4.91,0,0,0,0,2.94,0,0.98,1.96,0.98,0
 84-94,0,0,0,0,3.19,0,4.25,4.25,0,0,1.06,1.06,0,83.9,0,1.06,3.19,4.25,0,3.19,0,0,9.56,0,0,0,0,0,0,1.06,1.06,2.12,0
 96-106,0,0,0,0,2.19,0,6.56,1.09,1.09,5.46,0,0,0,66.66,0,0,0,7.65,0,1.09,1.09,0,14.21,0,0,1.09,0,0,0,1.09,4.37,1.09,0
108-118,0,0,0,0,0.77,0,1.53,7.66,1.53,3.06,1.53,0,0,52.09,0,0,0,9.96,0,0.77,0.77,0,6.13,0,0,0,0,0,1.53,0.77,0,0.77,0
120,0,0,0,0,0,1.96,5.88,5.88,0,1.96,0,1.96,0,52.91,0,0,1.96,0,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0
